Year,Named Storms,Named Storm Days,Hurricanes,Hurricane Days,Major Hurricanes,Major Hurricane Days,Accumulated Cyclone Energy
1971,17,84.25,11,38.5,6,6,139.3
1972,14,84,8,33.75,4,4.5,137.2
1973,12,62.25,7,28.5,3,7.25,114.7
1974,17,63.25,10,22.75,3,2.5,90.3
1975,17,71.75,9,26.75,4,5.5,112.6
1976,15,66.5,9,27.25,5,9.75,121.5
1977,8,20.5,4,5.25,0,0,22.3
1978,19,103.75,14,51.5,7,16,207.7
1979,10,33.75,6,13.75,4,3.25,57.4
1980,15,49.5,7,22.75,3,2.75,78.3
1981,15,58,8,18.25,1,1,72.8
1982,23,107,12,39.25,5,7.5,161.2
1983,21,110,12,47.75,8,16.25,206.2
1984,22,104.25,13,46.25,7,14.75,193.7
1985,24,109,13,49.75,8,8.5,193.1
1986,17,62.75,9,28.75,3,6.75,107.8
1987,20,79,10,29.5,4,7.75,133.9
1988,14,65.25,7,29.5,3,6.5,114.3
1989,18,69,9,27.25,4,5.75,111.8
1990,21,125.75,16,58.25,6,20.25,249.5
1991,14,89.75,10,44,5,14,180.4
1992,27,153.75,16,65.5,10,20.75,294.3
1993,15,86.75,11,50.75,9,16.75,201.8
1994,20,85.5,10,33,5,17,185.2
1995,10,51.75,7,22.25,3,9,100.2
1996,9,32.5,5,13,2,3.25,53.9
1997,20,81.5,9,33.5,7,15,170.8
1998,13,65.75,9,33,6,10.75,135.6
1999,9,44.5,6,23.5,2,6,90.2
2000,19,67.75,6,16.75,2,4.75,96
2001,16,58.5,8,18.5,2,5,90.6
2002,15,65,8,26,6,9,124.6
2003,16,49.75,7,11,0,0,56.6
2004,12,42,6,14,3,5.75,71.1
2005,15,61.5,7,23.5,2,5,96.6
2006,19,76.25,11,34,6,12.25,156.9
2007,11,39.25,4,8.75,1,3.25,52.6
2008,17,64.5,7,19,2,2.25,83.8
2009,20,72,8,23,5,9,126.4
2010,8,31.75,3,11.5,2,2.75,51.2
2011,11,55.75,10,26.75,6,11.5,120.9
2012,17,67,10,21.5,5,4,98.5
2013,20,64,9,14.5,1,0.75,74.8
2014,22,120.5,16,44.5,9,11,202.4
2015,26,132.75,16,62.25,11,24.75,290.2
2016,21,94.75,12,33,5,8,156.2
2017,18,67.75,9,20,4,4.5,100.7
2018,23,126.5,13,67.5,10,35,317.1
2019,19,66.25,7,17.25,4,6,97.5
