Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,0.04,-0.26,-0.06,-0.30,0.83,0.24,0.44,0.18,-0.87,-0.58,0.40,-0.09
1951,-0.21,-0.39,0.47,0.31,0.87,1.61,0.64,-0.03,0.36,0.13,-0.19,-0.44
1952,-0.64,0.35,0.93,-0.33,0.95,0.69,0.07,1.11,1.25,1.00,1.47,1.49
1953,1.18,0.81,0.87,1.41,1.63,0.11,0.00,-0.33,0.22,-0.15,-0.42,0.19
1954,0.02,0.10,0.56,-0.48,0.69,0.34,0.16,0.48,-0.59,-0.02,-0.20,-0.10
1955,1.32,0.98,1.22,1.04,0.53,0.85,0.62,0.88,-0.25,0.89,2.29,1.65
1956,1.55,1.51,0.89,1.54,-0.35,-0.83,0.19,-0.09,0.28,0.13,0.42,-0.04
1957,-0.27,0.20,1.08,0.12,0.29,0.79,0.71,0.26,0.87,0.53,0.44,-0.15
1958,0.92,1.39,1.63,0.73,0.40,1.03,1.17,1.34,1.41,-0.02,0.33,0.58
1959,1.07,0.09,0.17,0.39,0.52,0.19,-0.45,0.76,0.70,0.05,-0.38,-0.26
1960,0.65,0.82,0.55,0.11,0.95,-0.06,0.23,0.55,-0.52,0.75,0.12,-0.42
1961,-0.08,-0.06,0.34,0.99,-0.06,-0.52,0.02,-0.43,-0.41,-1.05,0.47,0.99
1962,-0.38,-0.55,0.96,-0.41,0.33,-0.34,0.04,-0.66,-0.51,0.18,0.27,0.76
1963,1.13,0.82,0.25,1.27,-1.28,0.04,0.02,-0.66,-1.22,-0.40,0.39,0.42
1964,0.82,1.45,0.93,-0.52,-0.19,0.59,-0.44,-0.03,-0.35,-0.69,0.26,0.32
1965,0.51,1.13,0.93,0.32,0.75,-0.26,-0.60,-0.21,-0.37,0.12,-0.19,-0.01
1966,1.31,1.32,0.42,1.16,-0.79,-0.21,-0.20,0.82,0.58,1.19,0.30,0.65
1967,0.87,0.50,-0.46,0.14,-0.60,-0.75,-0.94,-1.08,-0.54,-1.19,-0.45,-0.08
1968,-0.19,0.66,-0.66,-0.33,-0.53,-0.42,-0.54,0.26,-0.08,0.43,0.81,-0.04
1969,0.66,1.02,1.08,-0.62,-0.12,0.08,-0.83,-0.59,-0.75,-0.01,-0.23,-0.04
1970,1.26,-0.36,0.41,0.30,-0.68,-1.42,-1.02,-0.27,-0.36,-0.19,-0.06,0.23
1971,0.63,-0.15,0.07,0.34,-0.21,-0.31,0.28,-0.31,0.08,-0.18,-0.18,0.08
1972,-0.24,-0.53,-0.65,-0.56,-1.31,-1.72,-1.38,-1.02,-0.13,-0.27,-0.70,-1.30
1973,-0.93,-1.44,-0.71,0.09,-0.22,-0.55,-0.73,-0.56,-0.53,-0.10,0.01,-0.43
1974,-0.85,-0.59,-0.67,-1.20,-0.68,-0.16,-0.67,-0.73,-1.66,-1.64,-0.53,-0.79
1975,-0.81,-0.39,-0.55,-0.12,0.14,0.03,0.72,0.18,-0.73,-0.25,-0.59,-0.15
1976,-0.37,-0.54,-1.05,-0.70,-1.26,-0.93,-0.91,-0.50,0.26,-0.28,-0.86,-0.60
1977,-0.15,-0.23,-0.52,-0.77,-0.13,0.35,0.00,-0.17,-0.41,-0.48,-0.53,0.05
1978,-0.76,0.89,-0.43,0.52,-0.21,-1.20,0.24,-0.64,-0.01,-0.14,-0.85,0.40
1979,0.48,0.87,-0.19,0.11,-0.24,-0.21,-0.60,-0.11,-0.16,-0.04,-0.42,-0.43
1980,-0.04,-0.12,-0.37,-0.14,1.11,-0.24,-0.08,0.19,-1.13,-1.03,0.51,-0.22
1981,-0.35,-0.49,1.00,0.06,0.09,0.51,-0.24,0.26,0.52,-0.32,0.56,0.59
1982,0.55,0.05,-0.63,-0.39,-0.50,-0.18,-0.57,-1.00,-1.33,-1.08,-1.97,-2.14
1983,-1.88,-1.00,-1.24,-0.62,-0.58,-0.42,-0.11,-1.00,-0.66,-1.33,0.13,-0.47
1984,-1.16,-1.01,-0.52,-0.10,-0.39,-0.71,0.38,-0.38,0.06,-1.20,-0.93,-1.36
1985,-0.32,-0.61,-0.79,-0.80,-0.64,-0.59,-0.71,-1.16,-0.52,-0.87,-0.19,-0.71
1986,-1.58,-0.25,-1.57,-1.18,-0.94,-1.45,-1.33,-0.58,-0.20,-0.95,-2.15,-2.03
1987,-0.47,-0.14,0.03,-0.24,-0.32,0.25,1.00,1.43,0.54,-0.93,-0.70,0.57
1988,-0.74,-0.74,-0.39,0.43,-0.25,-0.19,-0.84,-0.39,-0.35,-0.26,0.33,0.14
1989,-0.48,-0.54,-1.02,-1.26,-1.33,-0.48,-0.52,-0.03,-0.49,-0.84,-0.49,0.44
1990,-1.08,-1.16,-1.92,-1.83,-0.20,-1.20,-0.94,-1.29,-0.88,-0.62,-0.13,-0.64
1991,-1.38,-1.43,-1.05,-1.50,-0.86,-0.28,-0.21,-1.04,-1.10,-1.13,-1.45,-0.70
1992,-0.34,-0.92,-1.34,-0.95,-1.21,-0.64,-0.63,-2.04,-1.72,-0.85,-1.04,-1.32
1993,-1.72,-1.42,-1.17,-0.81,-0.39,-0.56,-0.35,-1.00,-0.62,-0.60,-1.15,-1.51
1994,-1.65,-1.35,-1.37,-1.72,-0.94,-1.26,-1.59,-1.27,-0.64,0.60,0.02,-0.92
1995,-1.19,-1.46,-1.13,-0.37,0.75,0.86,1.52,1.21,-0.21,0.17,0.16,0.75
1996,0.59,-0.35,0.10,0.51,0.41,-0.15,-0.74,-0.64,0.86,0.10,-0.47,0.36
1997,0.80,-0.58,-0.39,1.14,0.85,1.62,0.67,0.20,0.95,2.07,1.78,1.39
1998,0.46,0.60,0.11,0.22,0.41,0.64,0.79,0.59,1.57,0.61,0.30,-0.04
1999,-0.25,-0.32,0.27,0.43,0.20,-0.58,0.39,0.86,0.64,-0.37,-0.10,-0.04
2000,-0.27,-0.84,-0.03,-0.23,-0.08,-0.58,0.68,0.10,0.55,-1.11,0.08,0.04
2001,0.07,-0.02,0.99,-0.06,0.88,1.02,0.55,0.10,1.37,0.58,0.41,1.31
2002,0.72,0.27,-0.06,-0.25,-0.60,-1.14,-1.05,-0.22,0.67,0.82,0.05,0.58
2003,0.09,0.03,0.17,0.26,-0.21,0.47,-0.14,0.33,0.64,1.22,0.94,0.76
2004,1.08,0.76,0.17,0.32,-0.27,0.09,0.35,0.14,-0.19,0.65,0.84,0.39
2005,0.01,0.60,1.78,1.02,1.66,1.94,1.09,1.08,0.79,0.94,0.48,0.97
2006,0.62,0.90,1.20,1.18,1.16,0.36,0.19,1.35,1.64,1.80,0.92,-0.12
2007,0.34,0.94,0.01,1.01,0.21,1.17,1.45,0.69,0.97,1.20,1.14,0.45
2008,0.04,-0.05,0.01,0.67,1.84,1.49,0.95,1.41,0.34,-0.29,-0.15,0.06
2009,0.11,0.17,0.03,-0.45,-0.94,0.58,0.68,-0.07,-0.95,0.92,-0.21,0.51
2010,0.46,1.53,0.75,1.30,1.73,1.36,1.04,1.63,2.47,1.81,1.52,2.06
2011,1.37,0.61,0.20,0.00,-0.06,0.35,-0.05,0.51,-0.19,-0.08,-0.31,-1.37
2012,-0.91,-0.84,-0.63,-0.16,0.45,1.54,1.74,1.47,0.76,1.63,0.43,0.45
2013,-0.05,-0.18,0.97,-0.07,-1.04,-0.71,0.36,0.15,0.25,1.02,-0.33,-0.68
2014,-0.77,-0.93,-1.23,-0.60,-0.31,0.53,-0.13,0.89,0.31,-0.06,-0.62,-1.66
2015,-1.90,-1.53,-1.97,-1.40,-1.69,-1.45,-0.33,-0.80,-0.46,-0.74,-1.74,-1.80
2016,-1.18,-2.06,-1.76,-0.86,-0.69,0.00,0.13,0.31,-0.96,-0.34,-0.27,-0.54
2017,-0.51,-0.44,-0.84,-0.31,0.42,-0.01,-0.82,-0.21,-0.09,-0.26,0.15,0.03
2018,-0.43,-0.76,0.07,-1.06,-2.00,-1.05,-1.85,-1.55,-0.86,-0.73,-0.44,-0.69
2019,-0.57,-0.36,-1.07,-0.97,0.18,0.08,1.67,0.75,0.16,0.45,-0.24,-0.19
2020,-0.40,-0.93,-1.25,-0.36,-0.44,-0.39,0.43,0.97,0.16,-0.31,-1.49,-0.81
2021,0.09,0.01,-0.48,0.65,-0.26,-0.81,-0.03,0.48,0.75,0.93,0.37,0.56
2022,-0.06,-0.57,-0.49,0.44,0.14,0.15,0.16,0.72,2.19,1.19,0.24,0.47
2023,-0.32,-0.25,0.79,0.63,0.25,2.84,1.33,1.84,1.89,2.02,0.51,0.22
2024,0.53,0.35,0.20,0.49,1.04,0.74,0.62,0.11,0.95,1.35,1.92,0.25
2025,1.15,0.44,0.33,0.41,0.30,-0.72,-0.38,-0.22,-0.90,0.46,0.72,0.42
2026,0.34,,,,,,,,,,,
