State,County,NS_events,H_events,MH_events,NS_climo,H_climo,MH_climo,NS_current,H_current,MH_current
Alabama,Baldwin,75,28,9,41%,18%,6%,65%,32%,12%
Alabama,Mobile,67,28,8,38%,18%,6%,60%,32%,10%
Connecticut,Fairfield,27,9,2,17%,6%,1%,31%,12%,3%
Connecticut,Middlesex,24,10,2,16%,7%,1%,28%,13%,3%
Connecticut,New Haven,32,11,2,20%,8%,1%,36%,14%,3%
Connecticut,New London,27,10,2,17%,7%,1%,31%,13%,3%
Delaware,Kent,23,4,0,15%,3%,<1%,27%,5%,<1%
Delaware,New Castle,18,1,0,12%,1%,<1%,22%,1%,<1%
Delaware,Sussex,32,9,1,20%,6%,1%,36%,12%,1%
Florida,Bay,58,26,7,34%,17%,5%,55%,30%,9%
Florida,Brevard,78,26,8,42%,17%,6%,66%,30%,10%
Florida,Broward,77,36,16,42%,23%,11%,66%,39%,20%
Florida,Charlotte,67,26,15,38%,17%,10%,60%,30%,19%
Florida,Citrus,59,26,4,34%,17%,3%,56%,30%,5%
Florida,Collier,77,34,19,42%,21%,13%,66%,38%,23%
Florida,Dixie,61,19,2,35%,13%,1%,57%,23%,3%
Florida,Duval,67,22,5,38%,14%,3%,60%,26%,7%
Florida,Escambia,69,27,10,39%,17%,7%,61%,31%,13%
Florida,Flagler,59,22,3,34%,14%,2%,56%,26%,4%
Florida,Franklin,60,21,4,35%,14%,3%,56%,25%,5%
Florida,Gulf,59,23,4,34%,15%,3%,56%,27%,5%
Florida,Hernando,58,26,6,34%,17%,4%,55%,30%,8%
Florida,Hillsborough,63,27,10,36%,17%,7%,58%,31%,13%
Florida,Indian River,65,26,9,37%,17%,6%,59%,30%,12%
Florida,Jefferson,56,14,1,33%,9%,1%,54%,18%,1%
Florida,Lee,71,28,17,40%,18%,11%,63%,32%,21%
Florida,Levy,62,22,4,36%,14%,3%,58%,26%,5%
Florida,Manatee,65,28,11,37%,18%,8%,59%,32%,14%
Florida,Martin,67,27,10,38%,17%,7%,60%,31%,13%
Florida,Miami-Dade,79,37,21,43%,23%,14%,66%,40%,25%
Florida,Monroe,103,50,26,52%,30%,17%,76%,50%,30%
Florida,Nassau,69,20,5,39%,13%,3%,61%,24%,7%
Florida,Okaloosa,62,24,8,36%,16%,6%,58%,28%,10%
Florida,Palm Beach,77,34,13,42%,21%,9%,66%,38%,16%
Florida,Pasco,63,26,7,36%,17%,5%,58%,30%,9%
Florida,Pinellas,64,26,10,36%,17%,7%,59%,30%,13%
Florida,Santa Rosa,61,25,8,35%,16%,6%,57%,29%,10%
Florida,Sarasota,63,26,12,36%,17%,8%,58%,30%,15%
Florida,St. Johns,68,23,5,38%,15%,3%,61%,27%,7%
Florida,St. Lucie,63,23,8,36%,15%,6%,58%,27%,10%
Florida,Taylor,62,16,1,36%,11%,1%,58%,20%,1%
Florida,Volusia,69,26,3,39%,17%,2%,61%,30%,4%
Florida,Wakulla,54,18,2,32%,12%,1%,53%,22%,3%
Florida,Walton,60,26,8,35%,17%,6%,56%,30%,10%
Georgia,Bryan,69,21,3,39%,14%,2%,61%,25%,4%
Georgia,Camden,72,18,5,40%,12%,3%,63%,22%,7%
Georgia,Chatham,72,22,4,40%,14%,3%,63%,26%,5%
Georgia,Glynn,64,15,5,36%,10%,3%,59%,19%,7%
Georgia,Liberty,72,22,4,40%,14%,3%,63%,26%,5%
Georgia,McIntosh,69,21,4,39%,14%,3%,61%,25%,5%
Louisiana,Cameron ,53,23,7,31%,15%,5%,52%,27%,9%
Louisiana,Iberia,59,25,7,34%,16%,5%,56%,29%,9%
Louisiana,Jefferson,67,30,8,38%,19%,6%,60%,34%,10%
Louisiana,Lafourche,71,33,8,40%,21%,6%,63%,37%,10%
Louisiana,Orleans,54,23,6,32%,15%,4%,53%,27%,8%
Louisiana,Plaquemines,80,35,10,43%,22%,7%,67%,38%,13%
Louisiana,St. Bernard,74,33,11,41%,21%,8%,64%,37%,14%
Louisiana,St. Mary,61,27,6,35%,17%,4%,57%,31%,8%
Louisiana,St. Tammany,58,24,6,34%,16%,4%,55%,28%,8%
Louisiana,Terrebonne,79,34,9,43%,21%,6%,66%,38%,12%
Louisiana,Vermilion,52,24,7,31%,16%,5%,51%,28%,9%
Maine,Cumberland,18,3,0,12%,2%,<1%,22%,4%,<1%
Maine,Hancock,16,6,1,11%,4%,1%,20%,8%,1%
Maine,Knox,20,6,1,13%,4%,1%,24%,8%,1%
