Year,Named Storms,Named Storm Days,Hurricanes,Hurricanes Days,Cat. 3+ Hurricanes,Cat. 3+ Hurricanes Days,Accumulated Cyclone Energy
1972,4,13.5,4,7.25,0,0,22
1973,4,13.75,0,0,0,0,13.3
1974,1,3.75,1,1.5,0,0,5.2
1975,5,21.5,3,8,0,0,28
1976,5,10.5,0,0,0,0,7.7
1977,5,15.5,2,8.25,2,4,37.1
1978,4,15.75,2,4,0,0,18.5
1979,5,13,1,3,0,0,15.2
1980,3,3.25,0,0,0,0,1.6
1981,3,13.5,2,2.5,0,0,16.4
1982,5,15,2,3.75,1,1,20.7
1983,3,5.25,0,0,0,0,4.2
1984,4,17,2,4.25,0,0,20.8
1985,6,13.5,0,0,0,0,10.8
1986,3,4.75,0,0,0,0,2.9
1987,8,19.5,0,0,0,0,14.6
1988,5,12,1,4,1,0.75,17.4
1989,2,9.5,0,5.25,0,2.5,25.4
1990,2,9,1,3.25,1,2,18.3
1991,4,11,1,3.5,1,1.75,20.3
1992,10,36.75,3,4,1,2,39.7
1993,2,6.75,2,2.5,0,0,8.8
1994,5,12,1,2.25,1,1,15.4
1995,4,11,2,2.5,1,0.75,14.3
1996,8,32.25,4,3.75,1,1,33.9
1997,4,18.75,2,4.75,1,1.25,25.8
1998,8,21.5,5,6.5,1,0.5,27.9
1999,5,17.25,3,9.5,3,5.25,44.3
2000,4,10,2,1.5,0,0,9.4
2001,3,9,1,3.75,1,1,15.4
2002,5,10.75,0,0,0,0,6.4
2003,4,14.5,1,1.25,0,0,13.5
2004,5,17,2,1.75,0,0,13.4
2005,6,18,0,0,0,0,13.4
2006,6,11,1,2.5,1,1,15.4
2007,6,17,3,7.75,2,5.25,46.1
2008,6,14.5,1,4.75,1,1.25,19.8
2009,5,10.25,1,0.25,0,0,7.8
2010,5,19.5,3,5,2,2.25,31.7
2011,6,9.5,1,2.25,0,0,10.6
2012,4,6.75,0,0,0,0,4.1
2013,6,28.75,4,9.25,1,2.5,45.6
2014,5,16.25,2,6,2,2.5,29.9
2015,5,18.5,2,6.75,2,4.25,37.5
2016,5,14.5,1,2.25,0,0,14.5
2017,4,11.75,2,4.25,1,0.25,16.9
2018,6,26,4,6.5,1,0.5,30.9
2019,7,39.25,6,19.75,3,7.5,88.6
