ar,Named Storms,Named Storm Days,Hurricanes,Hurricanes Days,Cat. 3+ Hurricanes,Cat. 3+ Hurricanes Days,Accumulated Cyclone Energy
1980,14,115,11,40,6,8.25,188.1
1981,12,56.5,6,20.25,5,3.75,86
1982,16,72.5,6,23,2,4.5,105.5
1983,9,36.25,4,4.75,0,0,38.2
1984,20,101,10,36.25,3,7.25,153.3
1985,20,97.25,8,16,2,4,112.7
1986,21,101.25,10,37,5,8.25,156.5
1987,11,59.5,4,7.75,0,0,54
1988,13,57.5,6,14,2,4.5,79
1989,17,90.5,13,43.75,6,10.75,172.1
1990,17,95.25,9,37,4,8.25,160.6
1991,14,72.5,6,21.75,2,4,108.5
1992,14,67.75,7,36.25,7,15.5,157.2
1993,12,57.25,6,18,2,4.5,87.4
1994,22,123.5,13,50.75,7,14.5,230.5
1995,14,79,10,34,7,10,141.8
1996,18,93.5,13,44.25,7,16,201.5
1997,20,137.75,12,42.5,5,13.75,213.3
1998,15,66.25,6,14,2,4,80.4
1999,20,84,10,30,6,14.5,154.7
2000,17,107,12,48,7,14,197.6
2001,14,57.5,9,26.25,4,6,102.8
2002,17,84,10,36.5,7,15.75,175.5
2003,18,83.75,10,36.5,5,13,157.6
2004,15,98.25,12,39.75,6,14.75,178.4
2005,18,67.75,7,26.75,4,11.75,130.8
2006,15,58,5,19.5,5,8.75,101.8
2007,14,78.75,11,38.25,8,13,160
2008,21,103,10,32.5,5,7.75,156.5
2009,18,62.25,7,14.5,4,5.5,81.6
2010,14,57.75,8,19.75,5,9,104.4
2011,12,46.75,5,10.25,1,0.75,53.9
2012,16,76,9,24.5,2,7.75,122.8
2013,16,69,10,30,6,7.25,120.7
2014,14,63.5,9,25.25,7,13.75,137.1
2015,16,67,8,27.5,5,10.75,130.4
2016,9,45.25,5,19,3,8.5,98.9
2017,11,47.5,5,9.25,2,2.5,61.8
2018,11,62.5,9,23.75,4,10.5,115.8
2019,18,99.5,13,45.5,11,19.75,204.4
