Year,April,June,August,Observed
  1984,---,109,109,84
  1985,---,129,117,88
  1986,---,60,47,36
  1987,---,77,59,34
  1988,---,112,112,103
  1989,---,57,66,135
  1990,---,115,103,97
  1991,---,55,34,36
  1992,---,55,57,76
  1993,---,91,84,38
  1994,---,63,51,32
  1995,92,130,137,227
  1996,97,87,125,166
  1997,102,102,112,41
  1998,87,92,104,181
  1999,150,150,153,177
  2000,116,150,121,119
  2001,92,111,114,110
  2002,116,92,56,67
  2003,130,135,130,176
  2004,135,135,116,227
  2005,126,159,228,245
  2006,183,183,132,83
  2007,174,174,152,74
  2008,150,150,175,146
  2009,100,85,80,53
  2010,150,185,185,165
  2011,160,160,160,126
  2012,70,80,99,133
  2013,165,165,142,36
  2014,55,65,65,67
  2015,40,40,35,63
  2016,101,103,110,143
  2017,75,100,135,225
  2018,130,90,64,133
  2019,80,100,105,132
  2020,150,160,200,180
  2021,150,150,150,146
  2022,160,180,150,94
  2023,100,125,160,148
