Year,April,June,August,Observed
  1984,---,7,7,5
  1985,---,8,8,7
  1986,---,4,5,4
  1987,---,5,4,3
  1988,---,7,7,5
  1989,---,4,4,7
  1990,---,7,7,8
  1991,---,4,3,4
  1992,---,4,4,4
  1993,---,7,6,4
  1994,---,5,4,3
  1995,6,8,10,11
  1996,7,6,9,9
  1997,7,7,8,3
  1998,6,6,6,10
  1999,9,9,9,8
  2000,7,8,7,8
  2001,6,7,7,9
  2002,7,6,4,4
  2003,8,8,10,7
  2004,8,8,7,9
  2005,7,8,11,15
  2006,9,9,7,5
  2007,9,9,8,6
  2008,8,8,9,8
  2009,6,5,4,3
  2010,8,10,10,12
  2011,9,9,9,7
  2012,4,5,6,10
  2013,9,9,8,2
  2014,3,4,4,6
  2015,3,3,2,4
  2016,6,6,6,7
  2017,4,6,8,10
  2018,7,6,5,8
  2019,5,6,7,6
  2020,8,9,12,14
  2021,8,8,8,7
  2022,9,10,8,8
  2023,6,7,9,7
