Year,April,June,August,Observed
  1984,---,30.00,30.00,18.25
  1985,---,35.00,30.50,21.25
  1986,---,15.00,11.00,10.50
  1987,---,20.00,15.00,5.00
  1988,---,30.00,30.00,21.25
  1989,---,15.00,15.00,31.75
  1990,---,30.00,27.25,26.75
  1991,---,15.00,10.00,8.25
  1992,---,15.00,15.00,16.00
  1993,---,25.00,25.00,9.50
  1994,---,15.00,12.00,7.25
  1995,25.00,35.00,30.75,61.50
  1996,25.00,20.00,31.50,45.00
  1997,25.00,25.00,22.25,9.50
  1998,20.00,25.00,25.00,48.50
  1999,40.00,40.00,40.00,41.00
  2000,25.00,35.00,30.00,32.75
  2001,25.00,30.00,30.00,25.50
  2002,30.00,25.00,12.00,10.75
  2003,35.00,35.00,25.00,32.75
  2004,35.00,35.00,30.00,45.50
  2005,35.00,45.00,55.25,49.75
  2006,45.00,45.00,35.00,21.25
  2007,40.00,40.00,35.00,12.25
  2008,40.00,40.00,45.00,30.50
  2009,25.00,20.00,18.00,12.00
  2010,35.00,40.00,40.00,38.50
  2011,35.00,35.00,35.00,26.00
  2012,16.00,18.00,20.00,28.50
  2013,40.00,40.00,35.00,3.25
  2014,12.00,15.00,15.25,17.75
  2015,10.00,10.00,8.00,12.00
  2016,21.00,21.00,22.00,27.75
  2017,16.00,25.00,35.00,51.75
  2018,30.00,20.00,15.00,27.50
  2019,16.00,20.00,20.00,23.50
  2020,35.00,40.00,45.00,35.25
  2021,35.00,35.00,35.00,27.75
  2022,35.00,40.00,30.00,21.00
  2023,25.00,30.00,35.00,31.50
