Year,April,June,August,Observed
  1984,---,---,---,1
  1985,---,---,---,3
  1986,---,---,---,0
  1987,---,---,---,1
  1988,---,---,---,3
  1989,---,---,---,2
  1990,---,3,2,1
  1991,---,1,0,2
  1992,---,1,1,1
  1993,---,2,2,1
  1994,---,1,1,0
  1995,2,3,3,5
  1996,3,2,4,6
  1997,3,3,2,1
  1998,2,2,2,3
  1999,4,4,4,5
  2000,3,4,3,3
  2001,2,3,3,4
  2002,3,2,1,2
  2003,3,3,3,3
  2004,3,3,3,6
  2005,3,4,6,7
  2006,5,5,3,2
  2007,5,5,4,2
  2008,4,4,5,5
  2009,2,2,2,2
  2010,4,5,5,5
  2011,5,5,5,4
  2012,2,2,2,2
  2013,4,4,3,0
  2014,1,1,1,2
  2015,1,1,1,2
  2016,2,2,2,4
  2017,2,2,3,6
  2018,3,2,1,2
  2019,2,2,2,3
  2020,4,4,5,7
  2021,4,4,4,4
  2022,4,5,4,2
  2023,2,3,4,3
