Year,April,June,August,Observed
  1984,---,---,---,0.75
  1985,---,---,---,4.00
  1986,---,---,---,0.00
  1987,---,---,---,0.50
  1988,---,---,---,9.25
  1989,---,---,---,9.75
  1990,---,---,5.00,1.00
  1991,---,2.00,0.00,1.25
  1992,---,2.00,2.00,3.50
  1993,---,3.00,2.00,0.75
  1994,---,1.00,1.00,0.00
  1995,5.00,6.00,5.00,11.50
  1996,5.00,5.00,4.50,13.00
  1997,5.00,5.00,4.00,2.25
  1998,4.00,5.00,5.00,9.50
  1999,10.00,10.00,10.00,14.25
  2000,6.00,8.00,6.00,5.00
  2001,4.00,5.00,5.00,4.25
  2002,6.00,5.00,2.00,3.00
  2003,8.00,8.00,5.00,16.75
  2004,8.00,8.00,6.00,22.25
  2005,7.00,11.00,18.75,17.50
  2006,13.00,13.00,8.00,2.00
  2007,11.00,11.00,10.00,6.00
  2008,9.00,9.00,11.00,7.50
  2009,5.00,4.00,4.00,3.50
  2010,10.00,13.00,13.00,11.00
  2011,10.00,10.00,10.00,4.50
  2012,3.00,4.00,5.00,0.50
  2013,9.00,9.00,7.00,0.00
  2014,2.00,3.00,3.00,3.75
  2015,0.50,0.50,0.50,4.00
  2016,4.00,4.00,5.00,10.25
  2017,4.00,5.00,7.00,19.25
  2018,7.00,4.00,2.00,5.25
  2019,4.00,5.00,5.00,9.50
  2020,9.00,9.00,11.00,8.25
  2021,9.00,9.00,9.00,12.75
  2022,9.00,11.00,8.00,5.75
  2023,5.00,7.00,9.00,7.25
