Year,April,June,August,Observed
  1984,---,10,10,13
  1985,---,11,12,11
  1986,---,8,9,6
  1987,---,8,7,7
  1988,---,11,11,12
  1989,---,7,12,11
  1990,---,11,13,14
  1991,---,8,8,8
  1992,---,8,9,7
  1993,---,11,11,8
  1994,---,9,8,7
  1995,10,12,21,19
  1996,11,10,14,13
  1997,11,11,16,8
  1998,10,10,11,14
  1999,14,14,15,12
  2000,11,12,11,15
  2001,10,12,13,15
  2002,12,11,10,12
  2003,12,14,18,16
  2004,14,14,13,15
  2005,13,15,20,28
  2006,17,17,16,10
  2007,17,17,16,15
  2008,15,15,17,16
  2009,12,11,10,9
  2010,15,18,18,19
  2011,16,16,16,19
  2012,10,13,14,19
  2013,18,18,18,14
  2014,9,10,10,8
  2015,7,8,8,11
  2016,13,14,15,15
  2017,11,14,16,17
  2018,14,14,12,15
  2019,13,14,14,18
  2020,16,19,24,30
  2021,17,18,18,21
  2022,19,20,18,14
  2023,13,15,18,20
