Year,April,June,August,Observed
  1984,---,45.00,45.00,63.25
  1985,---,55.00,55.50,51.25
  1986,---,35.00,30.25,23.25
  1987,---,40.00,35.00,37.25
  1988,---,50.00,50.00,47.00
  1989,---,30.00,40.00,65.25
  1990,---,55.00,56.75,72.25
  1991,---,35.00,31.75,24.25
  1992,---,35.00,36.50,40.25
  1993,---,55.00,51.00,29.75
  1994,---,35.00,32.00,28.75
  1995,50.00,65.00,79.00,121.25
  1996,55.00,45.00,64.00,79.00
  1997,55.00,55.00,58.25,30.00
  1998,50.00,50.00,53.00,87.25
  1999,65.00,75.00,79.50,78.50
  2000,55.00,65.00,55.00,71.50
  2001,50.00,60.00,62.00,68.75
  2002,65.00,55.00,36.75,57.00
  2003,65.00,70.00,77.75,81.50
  2004,60.00,60.00,55.00,93.00
  2005,65.00,75.00,96.00,126.25
  2006,85.00,85.00,76.75,58.00
  2007,85.00,85.00,76.75,37.75
  2008,80.00,80.00,91.00,88.25
  2009,55.00,50.00,45.00,30.00
  2010,75.00,90.00,90.75,89.50
  2011,80.00,80.00,81.25,89.75
  2012,40.00,50.00,50.50,101.25
  2013,95.00,95.00,85.00,42.25
  2014,35.00,40.00,40.00,35.00
  2015,30.00,30.00,25.00,43.50
  2016,52.00,53.00,55.00,82.25
  2017,50.00,60.00,70.00,93.00
  2018,70.00,55.00,53.00,86.75
  2019,50.00,55.00,55.00,70.00
  2020,80.00,85.00,100.00,122.75
  2021,80.00,80.00,80.00,79.75
  2022,90.00,95.00,85.00,55.00
  2023,55.00,60.00,90.00,100.50
