State,County,NS_events,H_events,MH_events,NS_current,H_current,MH_current,NS_climo,H_climo,MH_climo
Alabama,,123,46,12,82%,47%,15%,58%,28%,8%
Alabama,Baldwin,75,28,9,65%,32%,12%,41%,18%,6%
Alabama,Mobile,67,28,8,60%,32%,10%,38%,18%,6%
Connecticut,,35,11,2,38%,14%,3%,22%,8%,1%
Connecticut,Fairfield,27,9,2,31%,12%,3%,17%,6%,1%
Connecticut,Middlesex,24,10,2,28%,13%,3%,16%,7%,1%
Connecticut,New Haven,32,11,2,36%,14%,3%,20%,8%,1%
Connecticut,New London,27,10,2,31%,13%,3%,17%,7%,1%
Delaware,,36,9,1,39%,12%,1%,23%,6%,1%
Delaware,Kent,23,4,0,27%,5%,<1%,15%,3%,<1%
Delaware,New Castle,18,1,0,22%,1%,<1%,12%,1%,<1%
Delaware,Sussex,32,9,1,36%,12%,1%,20%,6%,1%
Florida,,274,115,48,98%,80%,49%,86%,56%,29%
Florida,Bay,58,26,7,55%,30%,9%,34%,17%,5%
Florida,Brevard,78,26,8,66%,30%,10%,42%,17%,6%
Florida,Broward,77,36,16,66%,39%,20%,42%,23%,11%
Florida,Charlotte,67,26,15,60%,30%,19%,38%,17%,10%
Florida,Citrus,59,26,4,56%,30%,5%,34%,17%,3%
Florida,Collier,77,34,19,66%,38%,23%,42%,21%,13%
Florida,Dixie,61,19,2,57%,23%,3%,35%,13%,1%
Florida,Duval,67,22,5,60%,26%,7%,38%,14%,3%
Florida,Escambia,69,27,10,61%,31%,13%,39%,17%,7%
Florida,Flagler,59,22,3,56%,26%,4%,34%,14%,2%
Florida,Franklin,60,21,4,56%,25%,5%,35%,14%,3%
Florida,Gulf,59,23,4,56%,27%,5%,34%,15%,3%
Florida,Hernando,58,26,6,55%,30%,8%,34%,17%,4%
Florida,Hillsborough,63,27,10,58%,31%,13%,36%,17%,7%
Florida,Indian River,65,26,9,59%,30%,12%,37%,17%,6%
Florida,Jefferson,56,14,1,54%,18%,1%,33%,9%,1%
Florida,Lee,71,28,17,63%,32%,21%,40%,18%,11%
Florida,Levy,62,22,4,58%,26%,5%,36%,14%,3%
