State,County,NS_events,H_events,MH_events,NS_current,H_current,MH_current,NS_climo,H_climo,MH_climo
Alabama,,123,46,12,58%,28%,8%,58%,28%,8%
Alabama,Baldwin,75,28,9,41%,18%,6%,41%,18%,6%
Alabama,Mobile,67,28,8,38%,18%,6%,38%,18%,6%
Connecticut,,35,11,2,22%,8%,1%,22%,8%,1%
Connecticut,Fairfield,27,9,2,17%,6%,1%,17%,6%,1%
Connecticut,Middlesex,24,10,2,16%,7%,1%,16%,7%,1%
Connecticut,New Haven,32,11,2,20%,8%,1%,20%,8%,1%
Connecticut,New London,27,10,2,17%,7%,1%,17%,7%,1%
Delaware,,36,9,1,23%,6%,1%,23%,6%,1%
Delaware,Kent,23,4,0,15%,3%,<1%,15%,3%,<1%
Delaware,New Castle,18,1,0,12%,1%,<1%,12%,1%,<1%
Delaware,Sussex,32,9,1,20%,6%,1%,20%,6%,1%
Florida,,274,115,48,86%,56%,29%,86%,56%,29%
Florida,Bay,58,26,7,34%,17%,5%,34%,17%,5%
Florida,Brevard,78,26,8,42%,17%,6%,42%,17%,6%
Florida,Broward,77,36,16,42%,23%,11%,42%,23%,11%
Florida,Charlotte,67,26,15,38%,17%,10%,38%,17%,10%
Florida,Citrus,59,26,4,34%,17%,3%,34%,17%,3%
Florida,Collier,77,34,19,42%,21%,13%,42%,21%,13%
Florida,Dixie,61,19,2,35%,13%,1%,35%,13%,1%
Florida,Duval,67,22,5,38%,14%,3%,38%,14%,3%
Florida,Escambia,69,27,10,39%,17%,7%,39%,17%,7%
Florida,Flagler,59,22,3,34%,14%,2%,34%,14%,2%
Florida,Franklin,60,21,4,35%,14%,3%,35%,14%,3%
Florida,Gulf,59,23,4,34%,15%,3%,34%,15%,3%
Florida,Hernando,58,26,6,34%,17%,4%,34%,17%,4%
Florida,Hillsborough,63,27,10,36%,17%,7%,36%,17%,7%
Florida,Indian River,65,26,9,37%,17%,6%,37%,17%,6%
Florida,Jefferson,56,14,1,33%,9%,1%,33%,9%,1%
Florida,Lee,71,28,17,40%,18%,11%,40%,18%,11%
Florida,Levy,62,22,4,36%,14%,3%,36%,14%,3%
Florida,Manatee,65,28,11,37%,18%,8%,37%,18%,8%
Florida,Martin,67,27,10,38%,17%,7%,38%,17%,7%
Florida,Miami-Dade,79,37,21,43%,23%,14%,43%,23%,14%
Florida,Monroe,103,50,26,52%,30%,17%,52%,30%,17%
Florida,Nassau,69,20,5,39%,13%,3%,39%,13%,3%
Florida,Okaloosa,62,24,8,36%,16%,6%,36%,16%,6%
Florida,Palm Beach,77,34,13,42%,21%,9%,42%,21%,9%
Florida,Pasco,63,26,7,36%,17%,5%,36%,17%,5%
Florida,Pinellas,64,26,10,36%,17%,7%,36%,17%,7%
Florida,Santa Rosa,61,25,8,35%,16%,6%,35%,16%,6%
Florida,Sarasota,63,26,12,36%,17%,8%,36%,17%,8%
Florida,St. Johns,68,23,5,38%,15%,3%,38%,15%,3%
Florida,St. Lucie,63,23,8,36%,15%,6%,36%,15%,6%
Florida,Taylor,62,16,1,36%,11%,1%,36%,11%,1%
Florida,Volusia,69,26,3,39%,17%,2%,39%,17%,2%
Florida,Wakulla,54,18,2,32%,12%,1%,32%,12%,1%
Florida,Walton,60,26,8,35%,17%,6%,35%,17%,6%
Georgia,,140,51,9,63%,30%,6%,63%,30%,6%
Georgia,Bryan,69,21,3,39%,14%,2%,39%,14%,2%
Georgia,Camden,72,18,5,40%,12%,3%,40%,12%,3%
Georgia,Chatham,72,22,4,40%,14%,3%,40%,14%,3%
Georgia,Glynn,64,15,5,36%,10%,3%,36%,10%,3%
Georgia,Liberty,72,22,4,40%,14%,3%,40%,14%,3%
Georgia,McIntosh,69,21,4,39%,14%,3%,39%,14%,3%
Louisiana,,151,68,22,66%,38%,14%,66%,38%,14%
Louisiana,Cameron ,53,23,7,31%,15%,5%,31%,15%,5%
Louisiana,Iberia,59,25,7,34%,16%,5%,34%,16%,5%
Louisiana,Jefferson,67,30,8,38%,19%,6%,38%,19%,6%
Louisiana,Lafourche,71,33,8,40%,21%,6%,40%,21%,6%
Louisiana,Orleans,54,23,6,32%,15%,4%,32%,15%,4%
Louisiana,Plaquemines,80,35,10,43%,22%,7%,43%,22%,7%
Louisiana,St. Bernard,74,33,11,41%,21%,8%,41%,21%,8%
Louisiana,St. Mary,61,27,6,35%,17%,4%,35%,17%,4%
Louisiana,St. Tammany,58,24,6,34%,16%,4%,34%,16%,4%
Louisiana,Terrebonne,79,34,9,43%,21%,6%,43%,21%,6%
Louisiana,Vermilion,52,24,7,31%,16%,5%,31%,16%,5%
Maine,,34,10,2,21%,7%,1%,21%,7%,1%
Maine,Cumberland,18,3,0,12%,2%,<1%,12%,2%,<1%
Maine,Hancock,16,6,1,11%,4%,1%,11%,4%,1%
Maine,Knox,20,6,1,13%,4%,1%,13%,4%,1%
Maine,Lincoln,16,3,0,11%,2%,<1%,11%,2%,<1%
Maine,Sagadahoc,17,3,0,11%,2%,<1%,11%,2%,<1%
Maine,Waldo,15,3,0,10%,2%,<1%,10%,2%,<1%
Maine,Washington,18,6,1,12%,4%,1%,12%,4%,1%
Maine,York,22,5,1,14%,3%,1%,14%,3%,1%
Maryland,,52,16,1,31%,11%,1%,31%,11%,1%
Maryland,Anne Arundel,18,1,0,12%,1%,<1%,12%,1%,<1%
Maryland,Baltimore,15,1,0,10%,1%,<1%,10%,1%,<1%
Maryland,Baltimore City,12,1,0,8%,1%,<1%,8%,1%,<1%
Maryland,Calvert,21,2,0,14%,1%,<1%,14%,1%,<1%
Maryland,Cecil,18,1,0,12%,1%,<1%,12%,1%,<1%
Maryland,Dorchester,26,5,0,17%,3%,<1%,17%,3%,<1%
Maryland,Harford,15,0,0,10%,0%,<1%,10%,0%,<1%
Maryland,Kent,18,0,0,12%,0%,<1%,12%,0%,<1%
Maryland,Queen Anne's,19,1,0,13%,1%,<1%,13%,1%,<1%
Maryland,Somerset,33,9,0,21%,6%,<1%,21%,6%,<1%
Maryland,St. Mary's,27,3,0,17%,2%,<1%,17%,2%,<1%
Maryland,Talbot,20,1,0,13%,1%,<1%,13%,1%,<1%
Maryland,Wicomico,28,6,0,18%,4%,<1%,18%,4%,<1%
Maryland,Worcester,38,13,1,24%,9%,1%,24%,9%,1%
Massachusetts,,56,22,4,33%,14%,3%,33%,14%,3%
Massachusetts,Barnstable,26,13,2,17%,9%,1%,17%,9%,1%
Massachusetts,Dukes,31,11,2,20%,8%,1%,20%,8%,1%
Massachusetts,Essex,22,7,1,14%,5%,1%,14%,5%,1%
Massachusetts,Nantucket,30,14,2,19%,9%,1%,19%,9%,1%
Massachusetts,Norfolk,23,7,1,15%,5%,1%,15%,5%,1%
Massachusetts,Plymouth,25,10,2,16%,7%,1%,16%,7%,1%
Massachusetts,Suffolk,22,7,1,14%,5%,1%,14%,5%,1%
Mississippi,,106,47,11,53%,28%,8%,53%,28%,8%
Mississippi,Hancock,54,22,6,32%,14%,4%,32%,14%,4%
Mississippi,Harrison,59,26,6,34%,17%,4%,34%,17%,4%
Mississippi,Jackson,55,24,8,32%,16%,6%,32%,16%,6%
New Hampshire,,28,8,2,18%,6%,1%,18%,6%,1%
New Hampshire,Rockingham,22,5,1,14%,3%,1%,14%,3%,1%
New Jersey,,36,10,1,23%,7%,1%,23%,7%,1%
New Jersey,Atlantic,27,10,1,17%,7%,1%,17%,7%,1%
New Jersey,Burlington,25,8,0,16%,6%,<1%,16%,6%,<1%
New Jersey,Cape May,28,10,1,18%,7%,1%,18%,7%,1%
New Jersey,Essex,20,4,0,13%,3%,<1%,13%,3%,<1%
New Jersey,Hudson,20,4,0,13%,3%,<1%,13%,3%,<1%
New Jersey,Middlesex,21,5,0,14%,3%,<1%,14%,3%,<1%
New Jersey,Monmouth,25,9,1,16%,6%,1%,16%,6%,1%
New Jersey,Ocean,28,10,1,18%,7%,1%,18%,7%,1%
New Jersey,Salem,18,2,0,12%,1%,<1%,12%,1%,<1%
New Jersey,Union,20,4,0,13%,3%,<1%,13%,3%,<1%
New York,,43,14,3,26%,9%,2%,26%,9%,2%
New York,Bronx,23,7,1,15%,5%,1%,15%,5%,1%
New York,Kings,21,6,0,14%,4%,<1%,14%,4%,<1%
New York,Nassau,24,8,2,16%,6%,1%,16%,6%,1%
