IO, 03, 2020112118,   , BEST,   0, 108N, 0556E,  35, 1005, XX,  34, NEQ,   40,    0,   30,   65, 1008,  100,  20,   0,   0,   A,   0,   X, 270,  16,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112200,   , BEST,   0, 106N, 0542E,  40, 1002, XX,  34, NEQ,   40,    0,   30,   65, 1007,   95,  20,   0,   0,   A,   0,   X, 265,  16,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112206,   , BEST,   0, 103N, 0525E, 100,  967, XX,  34, NEQ,   45,   45,   40,   40, 1010,  110,   5,   0,   0,   A,   0,   X, 260,  15,      THREE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112212,   , BEST,   0, 104N, 0515E,  90,  974, XX,  34, NEQ,   40,   40,   35,   35, 1010,  110,   5,   0,   0,   A,   0,   X, 265,  13,       GATI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112218,   , BEST,   0, 103N, 0506E,  70,  989, XX,  34, NEQ,   40,   30,   30,   30, 1011,  110,   5,   0,   0,   A,   0,   X, 265,  11,       GATI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112300,   , BEST,   0, 107N, 0500E,  45, 1003, XX,  34, NEQ,   40,   30,   20,   55, 1011,  110,  10,   0,   0,   A,   0,   X, 280,   8,       GATI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112306,   , BEST,   0, 113N, 0493E,  35, 1007, XX,  34, NEQ,   40,   30,   30,   40, 1011,  110,  25,   0,   0,   A,   0,   X, 295,   8,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112312,   , BEST,   0, 116N, 0486E,  35, 1007, XX,  34, NEQ,   40,   40,   45,   45, 1011,  110,  25,   0,   0,   A,   0,   X, 295,   8,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112318,   , BEST,   0, 119N, 0475E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  100,  25,   0,   0,   A,   0,   X, 290,   9,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112400,   , BEST,   0, 113N, 0466E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  100,  25,   0,   0,   A,   0,   X, 270,   9,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112406,   , BEST,   0, 110N, 0465E,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1013,  100,  25,   0,   0,   A,   0,   X, 255,   7,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112506,   , BEST,   0, 108N, 0448E,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 1013,  100,  25,   0,   0,   A,   0,   X, 275,   4,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112512,   , BEST,   0, 112N, 0440E,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 1013,  100,  25,   0,   0,   A,   0,   X, 295,   6,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
IO, 03, 2020112518,   , BEST,   0, 114N, 0436E,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 1013,  100,  25,   0,   0,   A,   0,   X, 295,   6,       GATI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO032020, JTWC, NCEP_TCVITALS, 
