IO, 04, 2020112312,   , BEST,   0, 100N, 0839E,  35, 1003, XX,  34, NEQ,   75,   55,   60,   70, 1008,  200,  45,   0,   0,   B,   0,   X, 315,   5,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112318,   , BEST,   0, 098N, 0832E,  40, 1002, XX,  34, NEQ,   75,   55,   60,   70, 1010,  200,  45,   0,   0,   B,   0,   X, 295,   5,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112400,   , BEST,   0, 095N, 0833E,  40, 1001, XX,  34, NEQ,   50,   30,   30,   45, 1008,  180,  30,   0,   0,   B,   0,   X, 265,   3,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112406,   , BEST,   0, 095N, 0828E,  45,  998, XX,  34, NEQ,   30,   60,   65,   45, 1008,  165,  40,   0,   0,   B,   0,   X, 255,   3,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112412,   , BEST,   0, 098N, 0826E,  50,  993, XX,  34, NEQ,   45,   55,   65,   45, 1006,  150,  10,   0,   0,   B,   0,   X, 275,   3,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112418,   , BEST,   0, 101N, 0829E,  50,  994, XX,  34, NEQ,   90,   60,   70,   75, 1008,  180,  10,   0,   0,   B,   0,   X, 325,   2,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112500,   , BEST,   0, 111N, 0826E,  60,  988, XX,  34, NEQ,   95,   60,   75,   85, 1007,  180,  10,   0,   0,   B,   0,   X, 340,   5,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112506,   , BEST,   0, 112N, 0818E,  60,  990, XX,  34, NEQ,   95,   60,   75,   85, 1008,  180,  20,   0,   0,   B,   0,   X, 320,   6,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112512,   , BEST,   0, 116N, 0810E,  70,  982, XX,  34, NEQ,   95,   60,   75,   80, 1006,  200,  10,   0,   0,   B,   0,   X, 305,   7,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112518,   , BEST,   0, 120N, 0801E,  70,  981, XX,  34, NEQ,  140,   95,   85,  130, 1008,  160,  10,   0,   0,   B,   0,   X, 295,   9,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112600,   , BEST,   0, 123N, 0794E,  55,  991, XX,  34, NEQ,  150,   85,   80,  125, 1007,  150,  10,   0,   0,   B,   0,   X, 295,   8,      NIVAR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112618,   , BEST,   0, 138N, 0806E,  35, 1000, XX,  34, NEQ,  110,   80,    0,    0, 1007,  150,  40,   0,   0,   B,   0,   X,  20,   4,      NIVAR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
IO, 04, 2020112700,   , BEST,   0, 140N, 0807E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1010,  145,  40,   0,   0,   B,   0,   X,  40,   4,      NIVAR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO042020, JTWC, NCEP_TCVITALS, 
