IO, 05, 2020120112,   , BEST,   0, 078N, 0848E,  35, 1003, XX,  34, NEQ,   95,   70,   70,   95, 1009,  190,  45,   0,   0,   B,   0,   X, 305,   7,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120118,   , BEST,   0, 081N, 0841E,  35, 1003, XX,  34, NEQ,   95,   70,   70,   95, 1009,  200,  45,   0,   0,   B,   0,   X, 305,   8,     BUREVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120200,   , BEST,   0, 088N, 0834E,  45,  999, XX,  34, NEQ,   95,   70,   65,   95, 1009,  185,  45,   0,   0,   B,   0,   X, 310,   9,     BUREVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120400,   , BEST,   0, 093N, 0796E,  35, 1000, XX,  34, NEQ,   75,   55,   50,   85, 1006,  125,  35,   0,   0,   B,   0,   X, 270,   3,     BUREVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120406,   , BEST,   0, 093N, 0795E,  35, 1003, XX,  34, NEQ,   70,   60,   50,   80, 1009,  250,  35,   0,   0,   B,   0,   X, 260,   2,     BUREVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120412,   , BEST,   0, 093N, 0794E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  35,   0,   0,   B,   0,   X, 250,   2,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120418,   , BEST,   0, 090N, 0794E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  35,   0,   0,   B,   0,   X, 245,   2,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120500,   , BEST,   0, 089N, 0797E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  30,   0,   0,   B,   0,   X, 235,   1,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120506,   , BEST,   0, 092N, 0802E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  30,   0,   0,   B,   0,   X, 180,   1,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120512,   , BEST,   0, 087N, 0796E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  30,   0,   0,   B,   0,   X, 220,   4,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120518,   , BEST,   0, 089N, 0799E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  100,  30,   0,   0,   B,   0,   X, 225,   2,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
IO, 05, 2020120606,   , BEST,   0, 090N, 0793E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  100,  30,   0,   0,   B,   0,   X, 275,   3,     BUREVI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052020, JTWC, NCEP_TCVITALS, 
