WP, 01, 2021021706,   , BEST,   0, 066N, 1331E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  200,  35,   0,   0,   W,   0,   X, 265,   9,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021712,   , BEST,   0, 068N, 1324E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210,  30,   0,   0,   W,   0,   X, 270,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021718,   , BEST,   0, 070N, 1327E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  210,  30,   0,   0,   W,   0,   X, 280,   5,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021718,   , BEST,   0, 069N, 1327E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  210,  30,   0,   0,   W,   0,   X, 275,   5,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021800,   , BEST,   0, 070N, 1326E,  35,  999, XX,  34, NEQ,   85,   45,   65,   85, 1005,  210,  30,   0,   0,   W,   0,   X, 285,   4,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021806,   , BEST,   0, 073N, 1321E,  35,  998, XX,  34, NEQ,   85,   45,   60,   80, 1004,  190,  30,   0,   0,   W,   0,   X, 295,   4,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021812,   , BEST,   0, 073N, 1318E,  35, 1001, XX,  34, NEQ,   85,   45,   60,   85, 1007,  190,  30,   0,   0,   W,   0,   X, 290,   4,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021818,   , BEST,   0, 072N, 1317E,  35,  995, XX,  34, NEQ,  170,   40,  175,  245, 1005,  190,  30,   0,   0,   W,   0,   X, 275,   3,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021900,   , BEST,   0, 072N, 1312E,  40,  993, XX,  34, NEQ,  170,   40,  175,  200, 1005,  190,  30,   0,   0,   W,   0,   X, 265,   3,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021021906,   , BEST,   0, 072N, 1298E,  45,  991, XX,  34, NEQ,  175,   65,  170,  190, 1004,  175,  30,   0,   0,   W,   0,   X, 270,   7,     DUJUAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
WP, 01, 2021022200,   , BEST,   0, 104N, 1257E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  50,   0,   0,   W,   0,   X, 300,   9,     DUJUAN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012021, JTWC, NCEP_TCVITALS, 
