WP, 03, 2020080106,   , BEST,   0, 209N, 1279E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  125,  45,   0,   0,   W,   0,   X, 335,  12,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080112,   , BEST,   0, 219N, 1269E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  125,  45,   0,   0,   W,   0,   X, 325,  14,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080118,   , BEST,   0, 221N, 1261E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  145,  45,   0,   0,   W,   0,   X, 310,  12,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080200,   , BEST,   0, 226N, 1250E,  35, 1005, XX,  34, NEQ,   85,   55,    0,   25, 1008,  165,  45,   0,   0,   W,   0,   X, 305,  11,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080206,   , BEST,   0, 232N, 1246E,  40, 1000, XX,  34, NEQ,   85,  105,   40,   40, 1007,  165,  45,   0,   0,   W,   0,   X, 315,   9,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080212,   , BEST,   0, 236N, 1242E,  45,  996, XX,  34, NEQ,   90,  100,   55,   60, 1007,  180,  30,   0,   0,   W,   0,   X, 315,   7,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080218,   , BEST,   0, 242N, 1240E,  50,  990, XX,  34, NEQ,   90,   80,   50,   65, 1005,  165,  30,   0,   0,   W,   0,   X, 325,   6,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080300,   , BEST,   0, 250N, 1236E,  60,  983, XX,  34, NEQ,  100,  100,   60,   80, 1005,  150,  25,   0,   0,   W,   0,   X, 335,   7,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080306,   , BEST,   0, 263N, 1225E,  65,  980, XX,  34, NEQ,  100,  100,   60,   80, 1005,  150,   5,   0,   0,   W,   0,   X, 330,  11,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080312,   , BEST,   0, 268N, 1217E,  75,  971, XX,  34, NEQ,  110,  125,  135,   80, 1005,  150,  15,   0,   0,   W,   0,   X, 320,  11,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
WP, 03, 2020080318,   , BEST,   0, 278N, 1211E,  70,  974, XX,  34, NEQ,  115,  105,   85,   90, 1004,  145,  15,   0,   0,   W,   0,   X, 320,  12,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032020, JTWC, NCEP_TCVITALS, 
