WP, 05, 2020080806,   , BEST,   0, 183N, 1263E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  85,   0,   0,   W,   0,   X,  20,   6,       FIVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080812,   , BEST,   0, 195N, 1262E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  85,   0,   0,   W,   0,   X,   5,   9,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080818,   , BEST,   0, 213N, 1262E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  85,   0,   0,   W,   0,   X,    ,  13,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080900,   , BEST,   0, 231N, 1262E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1003,  180,  85,   0,   0,   W,   0,   X,    ,  16,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080906,   , BEST,   0, 254N, 1263E,  35,  995, XX,  34, NEQ,   85,  115,    0,    0, 1001,  120,  85,   0,   0,   W,   0,   X,    ,  20,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080912,   , BEST,   0, 276N, 1265E,  35,  992, XX,  34, NEQ,   80,  180,    0,    0, 1001,   80,  70,   0,   0,   W,   0,   X,    ,  21,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020080918,   , BEST,   0, 294N, 1265E,  40,  991, XX,  34, NEQ,  115,  185,   50,   90, 1002,   90,  70,   0,   0,   W,   0,   X,    ,  21,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020081000,   , BEST,   0, 322N, 1277E,  40,  990, XX,  34, NEQ,  105,  170,   95,   90, 1002,  105,  75,   0,   0,   W,   0,   X,  10,  23,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020081006,   , BEST,   0, 343N, 1287E,  35,  991, XX,  34, NEQ,  110,   95,    0,    0, 1001,   65,  55,   0,   0,   W,   0,   X,  15,  23,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020081012,   , BEST,   0, 369N, 1304E,  35,  994, XX,  34, NEQ,   75,   80,   30,   10, 1001,   65,  55,   0,   0,   W,   0,   X,  20,  27,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020081018,   , BEST,   0, 401N, 1322E,  35,  992, XX,  34, NEQ,   55,  130,   70,    0, 1002,   80,  55,   0,   0,   W,   0,   X,  25,  29,     JANGMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
WP, 05, 2020081100,   , BEST,   0, 427N, 1358E,  35,  990, XX,  34, NEQ,    0,  125,   65,    0, 1002,   80,  55,   0,   0,   W,   0,   X,  30,  33,     JANGMI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP052020, JTWC, NCEP_TCVITALS, 
