WP, 06, 2020080912,   , BEST,   0, 261N, 1476E,  35, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1016,   90,  30,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020080918,   , BEST,   0, 261N, 1470E,  45, 1005, XX,  34, NEQ,   25,   30,   25,   25, 1016,  100,  20,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081000,   , BEST,   0, 262N, 1463E,  40, 1007, XX,  34, NEQ,   35,   40,   35,   35, 1015,  100,  30,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081006,   , BEST,   0, 262N, 1453E,  35, 1009, XX,  34, NEQ,   30,    0,   40,   15, 1014,  135,  40,   0,   0,   W,   0,   X, 275,   7,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081012,   , BEST,   0, 263N, 1441E,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1015,  115,  40,   0,   0,   W,   0,   X, 275,   9,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081018,   , BEST,   0, 264N, 1428E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1013,  110,  40,   0,   0,   W,   0,   X, 275,  10,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081100,   , BEST,   0, 266N, 1415E,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 1015,  125,  40,   0,   0,   W,   0,   X, 280,  11,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081106,   , BEST,   0, 266N, 1405E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1013,  125,  40,   0,   0,   W,   0,   X, 275,  11,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081112,   , BEST,   0, 265N, 1395E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1013,  125,  25,   0,   0,   W,   0,   X, 275,  10,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081118,   , BEST,   0, 265N, 1377E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1013,  120,  25,   0,   0,   W,   0,   X, 270,  11,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081200,   , BEST,   0, 262N, 1366E,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1013,  135,  25,   0,   0,   W,   0,   X, 265,  12,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081206,   , BEST,   0, 259N, 1354E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1013,  135,  35,   0,   0,   W,   0,   X, 260,  12,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081212,   , BEST,   0, 252N, 1341E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1013,  135,  40,   0,   0,   W,   0,   X, 250,  12,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081218,   , BEST,   0, 248N, 1330E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1013,  125,  40,   0,   0,   W,   0,   X, 245,  12,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020081300,   , BEST,   0, 245N, 1315E,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1012,  120,  40,   0,   0,   W,   0,   X, 250,  12,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
