WP, 09, 2020082118,   , BEST,   0, 230N, 1223E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  45,   0,   0,   W,   0,   X,    ,  10,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082200,   , BEST,   0, 235N, 1227E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  145,  45,   0,   0,   W,   0,   X,  10,   8,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082206,   , BEST,   0, 243N, 1232E,  45,  996, XX,  34, NEQ,   90,  100,   30,   10, 1006,  175,  80,   0,   0,   W,   0,   X,  20,   8,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082212,   , BEST,   0, 253N, 1239E,  50,  992, XX,  34, NEQ,   90,  100,   45,   10, 1006,  170,  50,   0,   0,   W,   0,   X,  30,   9,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082218,   , BEST,   0, 258N, 1237E,  50,  991, XX,  34, NEQ,   90,  100,   45,   30, 1006,  150,  50,   0,   0,   W,   0,   X,  20,   8,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082300,   , BEST,   0, 263N, 1238E,  55,  987, XX,  34, NEQ,   90,  100,   45,   30, 1006,  150,  50,   0,   0,   W,   0,   X,  15,   7,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082306,   , BEST,   0, 267N, 1244E,  60,  979, XX,  34, NEQ,  110,  130,  100,   70, 1004,  180,  40,   0,   0,   W,   0,   X,  20,   5,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082312,   , BEST,   0, 271N, 1251E,  70,  973, XX,  34, NEQ,  115,  135,  100,   90, 1005,  195,  30,   0,   0,   W,   0,   X,  45,   6,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082318,   , BEST,   0, 270N, 1255E,  65,  976, XX,  34, NEQ,  115,  120,  110,  100, 1005,  195,  25,   0,   0,   W,   0,   X,  65,   5,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082400,   , BEST,   0, 273N, 1260E,  70,  972, XX,  34, NEQ,  115,  125,  125,  100, 1005,  195,  25,   0,   0,   W,   0,   X,  70,   4,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082406,   , BEST,   0, 278N, 1266E,  75,  964, XX,  34, NEQ,  130,  120,  110,  120, 1001,  190,  17,   0,   0,   W,   0,   X,  55,   5,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082412,   , BEST,   0, 285N, 1264E,  95,  950, XX,  34, NEQ,  130,  120,  110,  120, 1002,  195,  17,   0,   0,   W,   0,   X,  25,   6,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082418,   , BEST,   0, 286N, 1261E,  90,  954, XX,  34, NEQ,  125,  130,  115,  105, 1002,  195,  17,   0,   0,   W,   0,   X,   5,   4,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082500,   , BEST,   0, 292N, 1257E,  90,  954, XX,  34, NEQ,  120,  115,  115,  120, 1002,  195,   6,   0,   0,   W,   0,   X, 330,   5,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082506,   , BEST,   0, 299N, 1255E,  95,  950, XX,  34, NEQ,  120,  115,  115,  120, 1002,  195,   5,   0,   0,   W,   0,   X, 335,   6,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082512,   , BEST,   0, 307N, 1251E,  95,  949, XX,  34, NEQ,  130,  125,  110,   80, 1000,  190,  12,   0,   0,   W,   0,   X, 340,   8,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082518,   , BEST,   0, 313N, 1248E,  95,  947, XX,  34, NEQ,  130,  130,  105,   95,  999,  190,   5,   0,   0,   W,   0,   X, 340,   7,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082612,   , BEST,   0, 351N, 1245E,  95,  945, XX,  34, NEQ,  110,  130,  115,   90,  997,  195,  15,   0,   0,   W,   0,   X, 355,  13,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082618,   , BEST,   0, 370N, 1245E,  80,  955, XX,  34, NEQ,  120,  130,  110,   95,  996,  195,  15,   0,   0,   W,   0,   X,    ,  15,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082700,   , BEST,   0, 391N, 1248E,  65,  966, XX,  34, NEQ,  110,  130,   90,   95,  996,  185,  15,   0,   0,   W,   0,   X,   5,  19,       BAVI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082706,   , BEST,   0, 416N, 1258E,  40,  980, XX,  34, NEQ,  145,  125,   80,   60,  996,  185,  15,   0,   0,   W,   0,   X,  10,  23,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
WP, 09, 2020082712,   , BEST,   0, 440N, 1276E,  30,  984, XX,  34, NEQ,    0,    0,    0,    0,  996,  185,  15,   0,   0,   W,   0,   X,  20,  25,       BAVI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092020, JTWC, NCEP_TCVITALS, 
