WP, 10, 2020082800,   , BEST,   0, 168N, 1306E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  230,  50,   0,   0,   W,   0,   X, 320,   7,        TEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082806,   , BEST,   0, 165N, 1298E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  260,  90,   0,   0,   W,   0,   X, 285,   8,        TEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082812,   , BEST,   0, 163N, 1295E,  35, 1000, XX,  34, NEQ,   90,   30,  120,   40, 1005,  275,  30,   0,   0,   W,   0,   X, 260,   6,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082818,   , BEST,   0, 167N, 1294E,  45,  990, XX,  34, NEQ,   95,    0,  130,    0, 1002,  275,  30,   0,   0,   W,   0,   X, 265,   4,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082900,   , BEST,   0, 164N, 1293E,  55,  986, XX,  34, NEQ,   30,  105,  190,  110, 1003,  250,  65,   0,   0,   W,   0,   X, 255,   3,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082906,   , BEST,   0, 168N, 1292E,  55,  984, XX,  34, NEQ,   75,  140,  170,   75, 1002,  250,  55,   0,   0,   W,   0,   X, 285,   2,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082912,   , BEST,   0, 170N, 1289E,  55,  986, XX,  34, NEQ,  110,  145,  175,   75, 1004,  250,  40,   0,   0,   W,   0,   X, 310,   2,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020082918,   , BEST,   0, 168N, 1287E,  65,  978, XX,  34, NEQ,  115,  120,  160,  140, 1002,  250,  15,   0,   0,   W,   0,   X, 305,   3,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083000,   , BEST,   0, 171N, 1286E,  70,  974, XX,  34, NEQ,  120,  160,  145,  120, 1002,  250,  15,   0,   0,   W,   0,   X, 305,   2,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083006,   , BEST,   0, 184N, 1291E,  75,  971, XX,  34, NEQ,  120,  195,  150,  110, 1001,  240,  15,   0,   0,   W,   0,   X,   5,   6,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083012,   , BEST,   0, 195N, 1289E,  85,  964, XX,  34, NEQ,  165,  205,  125,  140, 1002,  230,  15,   0,   0,   W,   0,   X,    ,   9,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083018,   , BEST,   0, 208N, 1285E,  90,  958, XX,  34, NEQ,  205,  205,  135,  145, 1001,  230,  15,   0,   0,   W,   0,   X, 355,  11,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083100,   , BEST,   0, 225N, 1284E,  95,  953, XX,  34, NEQ,  205,  200,  140,  145, 1001,  230,  12,   0,   0,   W,   0,   X, 350,  13,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083106,   , BEST,   0, 241N, 1276E, 100,  948, XX,  34, NEQ,  200,  200,  140,  145, 1001,  220,  12,   0,   0,   W,   0,   X, 345,  16,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083112,   , BEST,   0, 250N, 1272E, 105,  944, XX,  34, NEQ,  190,  175,  140,  170, 1002,  215,  20,   0,   0,   W,   0,   X, 340,  15,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020083118,   , BEST,   0, 261N, 1266E, 115,  933, XX,  34, NEQ,  210,  190,  145,  170, 1002,  210,   5,   0,   0,   W,   0,   X, 335,  13,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090100,   , BEST,   0, 271N, 1262E, 115,  935, XX,  34, NEQ,  195,  195,  150,  165, 1004,  240,   5,   0,   0,   W,   0,   X, 335,  11,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090106,   , BEST,   0, 276N, 1261E, 125,  921, XX,  34, NEQ,  200,  190,  160,  180, 1001,  230,   5,   0,   0,   W,   0,   X, 340,   9,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090112,   , BEST,   0, 284N, 1263E, 120,  926, XX,  34, NEQ,  200,  200,  170,  160, 1002,  210,   5,   0,   0,   W,   0,   X, 355,   8,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090118,   , BEST,   0, 294N, 1267E, 115,  930, XX,  34, NEQ,  200,  190,  210,  150, 1002,  230,  25,   0,   0,   W,   0,   X,  10,   8,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090200,   , BEST,   0, 304N, 1270E, 105,  940, XX,  34, NEQ,  205,  215,  220,  145, 1003,  240,  15,   0,   0,   W,   0,   X,  15,  10,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090206,   , BEST,   0, 315N, 1272E, 100,  944, XX,  34, NEQ,  175,  145,  150,  170, 1001,  230,  22,   0,   0,   W,   0,   X,  15,  11,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090212,   , BEST,   0, 331N, 1279E,  90,  952, XX,  34, NEQ,  175,  150,  135,  130, 1001,  235,  22,   0,   0,   W,   0,   X,  15,  13,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090218,   , BEST,   0, 355N, 1290E,  75,  963, XX,  34, NEQ,  175,  150,  135,  130, 1001,  235,  22,   0,   0,   W,   0,   X,  20,  18,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090300,   , BEST,   0, 387N, 1291E,  70,  965, XX,  34, NEQ,  195,  205,  160,  180, 1001,  235,  25,   0,   0,   W,   0,   X,  10,  24,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
WP, 10, 2020090306,   , BEST,   0, 418N, 1297E,  60,  966, XX,  34, NEQ,  230,  240,  170,  135,  997,  250,  60,   0,   0,   W,   0,   X,  10,  29,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102020, JTWC, NCEP_TCVITALS, 
