WP, 11, 2020083112,   , BEST,   0, 229N, 1458E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  230,  60,   0,   0,   W,   0,   X, 240,   6,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020083118,   , BEST,   0, 221N, 1449E,  35, 1002, XX,  34, NEQ,   20,   45,   50,   30, 1008,   75,  20,   0,   0,   W,   0,   X, 230,   9,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090100,   , BEST,   0, 218N, 1445E,  35, 1002, XX,  34, NEQ,   35,   50,   75,   30, 1008,  200,  50,   0,   0,   W,   0,   X, 225,   9,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090106,   , BEST,   0, 209N, 1444E,  40,  999, XX,  34, NEQ,   65,  110,  105,   90, 1007,  220,  70,   0,   0,   W,   0,   X, 220,   8,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090112,   , BEST,   0, 205N, 1441E,  40, 1000, XX,  34, NEQ,   65,  110,  105,   90, 1008,  190,  70,   0,   0,   W,   0,   X, 220,   7,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090118,   , BEST,   0, 202N, 1432E,  45,  995, XX,  34, NEQ,   70,   95,  100,   75, 1007,  210,  50,   0,   0,   W,   0,   X, 235,   7,    HAISHEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090200,   , BEST,   0, 193N, 1424E,  55,  991, XX,  34, NEQ,   85,  100,  135,   90, 1009,  225,  25,   0,   0,   W,   0,   X, 235,   8,    HAISHEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090206,   , BEST,   0, 189N, 1413E,  65,  986, XX,  34, NEQ,  110,   70,  120,  125, 1007,  210,  20,   0,   0,   W,   0,   X, 235,  10,    HAISHEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090212,   , BEST,   0, 196N, 1404E,  70,  984, XX,  34, NEQ,  115,  135,  100,  115, 1010,  220,  20,   0,   0,   W,   0,   X, 260,   9,    HAISHEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090218,   , BEST,   0, 201N, 1393E,  75,  980, XX,  34, NEQ,  125,  135,  125,  120, 1009,  220,  15,   0,   0,   W,   0,   X, 285,  10,    HAISHEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090300,   , BEST,   0, 202N, 1385E,  85,  972, XX,  34, NEQ,  150,  145,  120,  125, 1009,  220,  15,   0,   0,   W,   0,   X, 285,   9,    HAISHEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090306,   , BEST,   0, 206N, 1376E,  95,  959, XX,  34, NEQ,  185,  160,  135,  180, 1006,  200,  15,   0,   0,   W,   0,   X, 290,   9,    HAISHEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
WP, 11, 2020090312,   , BEST,   0, 210N, 1365E, 100,  957, XX,  34, NEQ,  190,  160,  140,  170, 1008,  205,   5,   0,   0,   W,   0,   X, 295,  10,    HAISHEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112020, JTWC, NCEP_TCVITALS, 
