WP, 13, 2020091518,   , BEST,   0, 128N, 1184E,  35, 1000, XX,  34, NEQ,   40,   85,   50,   80, 1006,  150,  80,   0,   0,   W,   0,   X, 270,  12,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091606,   , BEST,   0, 134N, 1167E,  45,  995, XX,  34, NEQ,   75,   40,   50,   50, 1004,  200,  15,   0,   0,   W,   0,   X, 290,   9,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091612,   , BEST,   0, 137N, 1156E,  45,  993, XX,  34, NEQ,   65,  170,  140,   95, 1004,  250,  15,   0,   0,   W,   0,   X, 290,  10,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091618,   , BEST,   0, 141N, 1152E,  45,  993, XX,  34, NEQ,   60,   60,  100,  125, 1003,  210,  20,   0,   0,   W,   0,   X, 295,   8,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091700,   , BEST,   0, 146N, 1144E,  45,  992, XX,  34, NEQ,  115,  105,   95,  120, 1003,  210,  25,   0,   0,   W,   0,   X, 295,   8,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091706,   , BEST,   0, 156N, 1130E,  45,  994, XX,  34, NEQ,   95,   40,  105,   95, 1003,  210,  25,   0,   0,   W,   0,   X, 300,  11,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091712,   , BEST,   0, 158N, 1116E,  45,  992, XX,  34, NEQ,  115,   90,  100,  105, 1002,  205,  25,   0,   0,   W,   0,   X, 295,  13,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091718,   , BEST,   0, 163N, 1101E,  45,  993, XX,  34, NEQ,  135,   85,  105,  100, 1002,  205,  25,   0,   0,   W,   0,   X, 295,  15,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091800,   , BEST,   0, 165N, 1090E,  50,  990, XX,  34, NEQ,  125,  105,   75,  150, 1002,  195,  25,   0,   0,   W,   0,   X, 285,  13,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091806,   , BEST,   0, 163N, 1053E,  35,  997, XX,  34, NEQ,   95,   80,   40,  160, 1001,  205,  25,   0,   0,   W,   0,   X, 275,  20,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
WP, 13, 2020091812,   , BEST,   0, 160N, 1030E,  35,  994, XX,  34, NEQ,  180,  110,    0,  160, 1000,  150,  40,   0,   0,   W,   0,   X, 270,  23,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132020, JTWC, NCEP_TCVITALS, 
