WP, 14, 2020092012,   , BEST,   0, 239N, 1339E,  35, 1003, XX,  34, NEQ,   20,   40,    0,    0, 1008,  145,  40,   0,   0,   W,   0,   X, 335,   4,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092018,   , BEST,   0, 241N, 1339E,  35,  997, XX,  34, NEQ,   50,   60,   20,   35, 1006,  175,  50,   0,   0,   W,   0,   X, 345,   3,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092100,   , BEST,   0, 247N, 1339E,  45,  993, XX,  34, NEQ,  140,  120,   25,   55, 1007,  200,  55,   0,   0,   W,   0,   X, 355,   4,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092106,   , BEST,   0, 253N, 1348E,  45,  993, XX,  34, NEQ,   55,   90,   20,   30, 1004,  170,  25,   0,   0,   W,   0,   X,  25,   5,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092112,   , BEST,   0, 257N, 1350E,  45,  994, XX,  34, NEQ,   90,  110,   25,   80, 1007,  260,  20,   0,   0,   W,   0,   X,  25,   5,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092118,   , BEST,   0, 262N, 1351E,  45,  991, XX,  34, NEQ,   90,   75,   40,   60, 1004,  180,  30,   0,   0,   W,   0,   X,  20,   5,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092200,   , BEST,   0, 270N, 1351E,  50,  989, XX,  34, NEQ,  110,   85,   50,   75, 1006,  200,  35,   0,   0,   W,   0,   X,  10,   6,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092206,   , BEST,   0, 279N, 1355E,  60,  980, XX,  34, NEQ,  115,   95,   65,   75, 1004,  180,  20,   0,   0,   W,   0,   X,  10,   7,    DOLPHIN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092212,   , BEST,   0, 293N, 1362E,  55,  984, XX,  34, NEQ,  115,   90,   70,   80, 1004,  180,  20,   0,   0,   W,   0,   X,  20,  10,    DOLPHIN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092218,   , BEST,   0, 301N, 1362E,  55,  984, XX,  34, NEQ,  100,  100,   70,   75, 1005,  175,  30,   0,   0,   W,   0,   X,  15,  10,    DOLPHIN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092300,   , BEST,   0, 310N, 1369E,  50,  988, XX,  34, NEQ,  110,   95,   80,   80, 1006,  170,  35,   0,   0,   W,   0,   X,  20,  10,    DOLPHIN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092306,   , BEST,   0, 320N, 1386E,  50,  986, XX,  34, NEQ,  140,  130,  100,  105, 1006,  170,  35,   0,   0,   W,   0,   X,  40,  12,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092312,   , BEST,   0, 326N, 1410E,  55,  983, XX,  34, NEQ,  150,  110,  100,  135, 1006,  170,  35,   0,   0,   W,   0,   X,  55,  16,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092318,   , BEST,   0, 336N, 1424E,  45,  986, XX,  34, NEQ,  225,  140,   85,  140, 1006,  200,  45,   0,   0,   W,   0,   X,  55,  16,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092400,   , BEST,   0, 329N, 1417E,  35,  992, XX,  34, NEQ,  125,  105,  135,  100, 1006,  170,  40,   0,   0,   W,   0,   X,  65,   8,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092406,   , BEST,   0, 327N, 1424E,  35,  990, XX,  34, NEQ,  110,  105,  155,  145, 1006,  170,  40,   0,   0,   W,   0,   X,  75,   2,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092412,   , BEST,   0, 326N, 1429E,  35,  992, XX,  34, NEQ,  135,   75,   80,  165, 1006,  170,  40,   0,   0,   W,   0,   X, 105,   4,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092506,   , BEST,   0, 345N, 1415E,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   W,   0,   X, 330,   7,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
WP, 14, 2020092512,   , BEST,   0, 367N, 1430E,  25,  994, XX,  34, NEQ,    0,    0,    0,    0, 1003,  105,  50,   0,   0,   W,   0,   X,   5,  11,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142020, JTWC, NCEP_TCVITALS, 
