WP, 16, 2020100418,   , BEST,   0, 225N, 1392E,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230, 110,   0,   0,   W,   0,   X, 300,   2,    SIXTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100500,   , BEST,   0, 226N, 1390E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230, 110,   0,   0,   W,   0,   X, 290,   2,    SIXTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100506,   , BEST,   0, 223N, 1390E,  35,  997, XX,  34, NEQ,   70,   65,    0,    0, 1004,  300,  70,   0,   0,   W,   0,   X, 285,   1,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100512,   , BEST,   0, 230N, 1392E,  35,  997, XX,  34, NEQ,  125,   90,    0,    0, 1006,  350,  70,   0,   0,   W,   0,   X, 355,   2,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100518,   , BEST,   0, 235N, 1392E,  40,  993, XX,  34, NEQ,  120,   90,   90,    0, 1004,  300,  70,   0,   0,   W,   0,   X,    ,   4,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100600,   , BEST,   0, 239N, 1384E,  40,  994, XX,  34, NEQ,  130,   95,  105,    0, 1006,  235,  60,   0,   0,   W,   0,   X, 330,   5,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100606,   , BEST,   0, 242N, 1383E,  45,  986, XX,  34, NEQ,  170,  170,  150,  150, 1004,  245,  70,   0,   0,   W,   0,   X, 315,   5,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100612,   , BEST,   0, 243N, 1377E,  55,  980, XX,  34, NEQ,  175,  170,  130,  175, 1004,  245,  65,   0,   0,   W,   0,   X, 305,   5,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100618,   , BEST,   0, 247N, 1370E,  55,  981, XX,  34, NEQ,  170,  165,  130,  170, 1005,  230,  65,   0,   0,   W,   0,   X, 300,   6,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100700,   , BEST,   0, 251N, 1361E,  60,  980, XX,  34, NEQ,  180,  150,  120,  155, 1006,  210,  65,   0,   0,   W,   0,   X, 295,   7,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100706,   , BEST,   0, 260N, 1348E,  65,  976, XX,  34, NEQ,  170,  150,  125,  135, 1005,  215,  20,   0,   0,   W,   0,   X, 305,  10,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100712,   , BEST,   0, 265N, 1338E,  70,  971, XX,  34, NEQ,  185,  185,  125,  240, 1005,  215,  20,   0,   0,   W,   0,   X, 305,  10,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100718,   , BEST,   0, 272N, 1330E,  70,  970, XX,  34, NEQ,  185,  185,  125,  240, 1005,  215,  20,   0,   0,   W,   0,   X, 310,  10,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100800,   , BEST,   0, 279N, 1328E,  70,  967, XX,  34, NEQ,  300,  180,  175,  240, 1005,  215,  30,   0,   0,   W,   0,   X, 320,   9,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100806,   , BEST,   0, 288N, 1328E,  80,  962, XX,  34, NEQ,  305,  195,  170,  235, 1007,  200,  25,   0,   0,   W,   0,   X, 340,   8,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100812,   , BEST,   0, 295N, 1333E,  80,  965, XX,  34, NEQ,  300,  190,  160,  225, 1010,  200,  20,   0,   0,   W,   0,   X,   5,   8,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100818,   , BEST,   0, 302N, 1336E,  80,  965, XX,  34, NEQ,  300,  190,  155,  225, 1010,  200,  20,   0,   0,   W,   0,   X,  15,   8,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100900,   , BEST,   0, 301N, 1332E,  75,  967, XX,  34, NEQ,  310,  180,  140,  230, 1010,  175,  15,   0,   0,   W,   0,   X,  10,   4,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100906,   , BEST,   0, 307N, 1336E,  70,  971, XX,  34, NEQ,  310,  150,  125,  230, 1010,  180,  15,   0,   0,   W,   0,   X,  10,   4,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100912,   , BEST,   0, 310N, 1341E,  55,  985, XX,  34, NEQ,  225,  145,  125,  190, 1012,  190,  20,   0,   0,   W,   0,   X,  35,   5,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100918,   , BEST,   0, 313N, 1348E,  50,  987, XX,  34, NEQ,  205,  135,  140,  190, 1011,  200,  20,   0,   0,   W,   0,   X,  50,   6,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101000,   , BEST,   0, 320N, 1357E,  50,  988, XX,  34, NEQ,  200,  145,  125,  115, 1011,  200,  40,   0,   0,   W,   0,   X,  55,   8,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101006,   , BEST,   0, 321N, 1368E,  50,  988, XX,  34, NEQ,  215,  125,  125,  135, 1011,  200,  35,   0,   0,   W,   0,   X,  65,   9,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101012,   , BEST,   0, 320N, 1379E,  50,  988, XX,  34, NEQ,  200,  110,  120,  125, 1010,  190,  35,   0,   0,   W,   0,   X,  80,   9,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101018,   , BEST,   0, 322N, 1394E,  50,  987, XX,  34, NEQ,  185,  105,  115,  120, 1008,  190,  35,   0,   0,   W,   0,   X,  85,  10,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101100,   , BEST,   0, 322N, 1405E,  45,  990, XX,  34, NEQ,  170,   95,  100,  130, 1008,  185,  35,   0,   0,   W,   0,   X,  85,  10,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101106,   , BEST,   0, 318N, 1414E,  35,  997, XX,  34, NEQ,  105,   90,   95,  130, 1008,  185,  55,   0,   0,   W,   0,   X,  95,  10,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101112,   , BEST,   0, 313N, 1420E,  35,  998, XX,  34, NEQ,   60,   40,  110,  110, 1008,  185,  55,   0,   0,   W,   0,   X, 105,   9,   CHAN-HOM, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020101118,   , BEST,   0, 307N, 1421E,  35,  995, XX,  34, NEQ,   50,   70,   80,   90, 1004,  145,  55,   0,   0,   W,   0,   X, 135,   7,   CHAN-HOM, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
