WP, 18, 2020101118,   , BEST,   0, 174N, 1182E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1003,  120,  45,   0,   0,   W,   0,   X, 290,   5,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101200,   , BEST,   0, 176N, 1173E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  130,  45,   0,   0,   W,   0,   X, 285,   6,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101206,   , BEST,   0, 179N, 1157E,  35, 1001, XX,  34, NEQ,   45,   35,   35,   45, 1004,  130,  30,   0,   0,   W,   0,   X, 285,  10,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101212,   , BEST,   0, 182N, 1144E,  40,  998, XX,  34, NEQ,   65,   45,   45,   65, 1004,   97,  30,   0,   0,   W,   0,   X, 280,  12,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101218,   , BEST,   0, 185N, 1132E,  40,  995, XX,  34, NEQ,   90,   45,   35,  100, 1004,  130,  30,   0,   0,   W,   0,   X, 285,  12,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101300,   , BEST,   0, 188N, 1123E,  40,  994, XX,  34, NEQ,  140,   45,   35,  100, 1005,  190,  30,   0,   0,   W,   0,   X, 285,  12,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101306,   , BEST,   0, 187N, 1115E,  45,  992, XX,  34, NEQ,  235,  170,   90,  135, 1005,  190,  30,   0,   0,   W,   0,   X, 280,   9,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101312,   , BEST,   0, 190N, 1105E,  50,  989, XX,  34, NEQ,  195,  165,   75,  130, 1004,  180,  10,   0,   0,   W,   0,   X, 280,   9,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101318,   , BEST,   0, 198N, 1089E,  45,  992, XX,  34, NEQ,  170,   35,   75,  145, 1004,  170,  20,   0,   0,   W,   0,   X, 290,  11,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101400,   , BEST,   0, 200N, 1068E,  45,  992, XX,  34, NEQ,  145,  125,   70,   85, 1006,  180,  20,   0,   0,   W,   0,   X, 285,  15,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101406,   , BEST,   0, 202N, 1065E,  35,  999, XX,  34, NEQ,  135,  110,   60,   70, 1004,  180,  20,   0,   0,   W,   0,   X, 290,  13,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
WP, 18, 2020101412,   , BEST,   0, 202N, 1055E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  100,  20,   0,   0,   W,   0,   X, 280,  10,     NANGKA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182020, JTWC, NCEP_TCVITALS, 
