WP, 19, 2020101900,   , BEST,   0, 138N, 1294E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240,  60,   0,   0,   W,   0,   X, 295,  20,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020101906,   , BEST,   0, 139N, 1283E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  240,  60,   0,   0,   W,   0,   X, 290,  18,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020101912,   , BEST,   0, 141N, 1271E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  45,   0,   0,   W,   0,   X, 280,  15,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020101918,   , BEST,   0, 150N, 1261E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  190,  45,   0,   0,   W,   0,   X, 290,  12,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102000,   , BEST,   0, 156N, 1249E,  35, 1000, XX,  34, NEQ,   85,   60,   60,   85, 1004,  190,  45,   0,   0,   W,   0,   X, 295,  12,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102006,   , BEST,   0, 159N, 1232E,  40,  996, XX,  34, NEQ,  105,   60,   65,   95, 1002,  170,  45,   0,   0,   W,   0,   X, 290,  14,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102012,   , BEST,   0, 158N, 1223E,  45,  995, XX,  34, NEQ,  130,   75,   75,  105, 1005,  200,  45,   0,   0,   W,   0,   X, 285,  12,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102018,   , BEST,   0, 164N, 1200E,  40,  997, XX,  34, NEQ,  140,   95,   80,  165, 1005,  200,  40,   0,   0,   W,   0,   X, 280,  16,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102100,   , BEST,   0, 167N, 1184E,  45,  996, XX,  34, NEQ,  135,   95,   70,  130, 1005,  200,  35,   0,   0,   W,   0,   X, 280,  16,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102106,   , BEST,   0, 165N, 1179E,  45,  992, XX,  34, NEQ,  180,   95,  130,  175, 1003,  190,  35,   0,   0,   W,   0,   X, 275,  12,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102112,   , BEST,   0, 159N, 1175E,  45,  993, XX,  34, NEQ,  130,   85,  100,  135, 1004,  195,  35,   0,   0,   W,   0,   X, 260,   7,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102118,   , BEST,   0, 162N, 1169E,  60,  985, XX,  34, NEQ,  110,  130,  120,  160, 1004,  210,  25,   0,   0,   W,   0,   X, 270,   7,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102200,   , BEST,   0, 170N, 1161E,  65,  982, XX,  34, NEQ,  125,  140,  100,  190, 1003,  240,  20,   0,   0,   W,   0,   X, 290,   8,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102206,   , BEST,   0, 171N, 1164E,  65,  980, XX,  34, NEQ,  125,  110,  105,  140, 1003,  190,  20,   0,   0,   W,   0,   X, 320,   5,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102212,   , BEST,   0, 174N, 1162E,  70,  980, XX,  34, NEQ,  135,  115,  115,  135, 1006,  200,  20,   0,   0,   W,   0,   X, 330,   5,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102218,   , BEST,   0, 177N, 1156E,  75,  976, XX,  34, NEQ,  160,  110,  100,  120, 1006,  220,  25,   0,   0,   W,   0,   X, 320,   4,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102300,   , BEST,   0, 178N, 1153E,  85,  968, XX,  34, NEQ,  215,  110,  140,  205, 1007,  220,  20,   0,   0,   W,   0,   X, 305,   4,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102306,   , BEST,   0, 180N, 1152E,  75,  976, XX,  34, NEQ,  210,  110,  140,  195, 1005,  205,  20,   0,   0,   W,   0,   X, 300,   4,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102312,   , BEST,   0, 180N, 1151E,  75,  973, XX,  34, NEQ,  215,  110,  140,  180, 1005,  205,  20,   0,   0,   W,   0,   X, 290,   3,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102318,   , BEST,   0, 178N, 1143E,  70,  978, XX,  34, NEQ,  230,   80,  140,  180, 1006,  190,  20,   0,   0,   W,   0,   X, 265,   4,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102400,   , BEST,   0, 177N, 1136E,  55,  988, XX,  34, NEQ,  180,   80,  115,  165, 1006,  200,  20,   0,   0,   W,   0,   X, 265,   5,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102406,   , BEST,   0, 177N, 1125E,  50,  992, XX,  34, NEQ,  180,   75,  105,  170, 1006,  150,  20,   0,   0,   W,   0,   X, 270,   8,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102412,   , BEST,   0, 177N, 1115E,  50,  996, XX,  34, NEQ,  145,   70,  100,  125, 1009,   85,  20,   0,   0,   W,   0,   X, 270,   9,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102418,   , BEST,   0, 176N, 1102E,  50,  997, XX,  34, NEQ,   90,   45,   70,  110, 1009,  100,  20,   0,   0,   W,   0,   X, 270,  11,     SAUDEL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102500,   , BEST,   0, 176N, 1092E,  45,  999, XX,  34, NEQ,   95,   60,   65,   90, 1008,  120,  25,   0,   0,   W,   0,   X, 270,  10,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102506,   , BEST,   0, 175N, 1082E,  40, 1002, XX,  34, NEQ,   70,   50,   60,   80, 1008,  105,  25,   0,   0,   W,   0,   X, 270,  10,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102512,   , BEST,   0, 175N, 1079E,  35, 1005, XX,  34, NEQ,   50,   40,   45,   65, 1009,   95,  25,   0,   0,   W,   0,   X, 270,   7,     SAUDEL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102518,   , BEST,   0, 177N, 1073E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,   95,  25,   0,   0,   W,   0,   X, 275,   6,     SAUDEL, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102600,   , BEST,   0, 180N, 1067E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,   95,  25,   0,   0,   W,   0,   X, 295,   5,     SAUDEL, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
WP, 19, 2020102606,   , BEST,   0, 181N, 1062E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1009,   95,  30,   0,   0,   W,   0,   X, 295,   5,     SAUDEL, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192020, JTWC, NCEP_TCVITALS, 
