WP, 21, 2020102400,   , BEST,   0, 125N, 1312E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  225,  40,   0,   0,   W,   0,   X, 305,  11,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102406,   , BEST,   0, 132N, 1299E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  40,   0,   0,   W,   0,   X, 300,  13,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102412,   , BEST,   0, 132N, 1289E,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  100,  40,   0,   0,   W,   0,   X, 295,  13,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102418,   , BEST,   0, 135N, 1278E,  35, 1003, XX,  34, NEQ,   60,   60,   80,  100, 1008,  160,  40,   0,   0,   W,   0,   X, 290,  11,  TWENTY-ON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102500,   , BEST,   0, 133N, 1263E,  55,  994, XX,  34, NEQ,   70,   70,   90,  100, 1008,  150,  20,   0,   0,   W,   0,   X, 275,  12,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102506,   , BEST,   0, 134N, 1249E,  60,  988, XX,  34, NEQ,   60,   55,   90,  120, 1005,  180,  15,   0,   0,   W,   0,   X, 270,  13,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102512,   , BEST,   0, 135N, 1230E,  65,  987, XX,  34, NEQ,  100,   70,   70,  125, 1007,  185,  15,   0,   0,   W,   0,   X, 270,  15,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102518,   , BEST,   0, 132N, 1218E,  75,  980, XX,  34, NEQ,  140,  105,   95,  150, 1007,  185,  10,   0,   0,   W,   0,   X, 270,  15,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102600,   , BEST,   0, 133N, 1201E,  75,  980, XX,  34, NEQ,  140,  105,   90,  150, 1007,  185,  10,   0,   0,   W,   0,   X, 270,  16,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102606,   , BEST,   0, 135N, 1189E,  80,  973, XX,  34, NEQ,  170,  125,  110,  115, 1004,  240,  10,   0,   0,   W,   0,   X, 275,  15,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102612,   , BEST,   0, 133N, 1177E,  90,  966, XX,  34, NEQ,  155,  125,  105,  125, 1005,  250,  10,   0,   0,   W,   0,   X, 270,  13,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102700,   , BEST,   0, 133N, 1147E, 100,  958, XX,  34, NEQ,  165,  130,  120,  165, 1005,  230,  15,   0,   0,   W,   0,   X, 270,  14,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102706,   , BEST,   0, 135N, 1134E, 110,  950, XX,  34, NEQ,  125,  130,  100,  180, 1003,  220,  10,   0,   0,   W,   0,   X, 275,  14,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102712,   , BEST,   0, 139N, 1120E, 105,  952, XX,  34, NEQ,  105,  110,   90,  170, 1003,  210,  10,   0,   0,   W,   0,   X, 280,  13,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102718,   , BEST,   0, 140N, 1107E, 100,  956, XX,  34, NEQ,  200,  155,  135,  200, 1004,  225,  20,   0,   0,   W,   0,   X, 280,  13,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102800,   , BEST,   0, 149N, 1098E,  90,  968, XX,  34, NEQ,  100,  140,  130,  130, 1006,  225,  20,   0,   0,   W,   0,   X, 290,  13,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
WP, 21, 2020102806,   , BEST,   0, 154N, 1085E,  70,  974, XX,  34, NEQ,  130,  110,   50,   90, 1004,  200,  20,   0,   0,   W,   0,   X, 295,  12,     MOLAVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212020, JTWC, NCEP_TCVITALS, 
