WP, 22, 2020102800,   , BEST,   0, 166N, 1401E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   W,   0,   X, 305,   5,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102806,   , BEST,   0, 166N, 1395E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1009,  160,  30,   0,   0,   W,   0,   X, 280,   5,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102812,   , BEST,   0, 166N, 1387E,  35, 1000, XX,  34, NEQ,   30,   20,   15,   35, 1009,  105,  30,   0,   0,   W,   0,   X, 275,   6,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102818,   , BEST,   0, 166N, 1375E,  35, 1005, XX,  34, NEQ,   45,   20,   20,   50, 1009,  150,  30,   0,   0,   W,   0,   X, 270,   8,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102900,   , BEST,   0, 165N, 1366E,  55,  995, XX,  34, NEQ,   60,   45,   45,   60, 1009,  150,  20,   0,   0,   W,   0,   X, 270,   9,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102906,   , BEST,   0, 168N, 1358E,  70,  982, XX,  34, NEQ,  105,   40,   90,   85, 1006,  150,  20,   0,   0,   W,   0,   X, 275,   9,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102912,   , BEST,   0, 167N, 1346E,  80,  979, XX,  34, NEQ,   70,   45,   40,   60, 1008,  150,  10,   0,   0,   W,   0,   X, 270,  10,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020102918,   , BEST,   0, 163N, 1334E, 120,  943, XX,  34, NEQ,   85,   55,   40,   75, 1006,  140,   6,   0,   0,   W,   0,   X, 265,  11,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103000,   , BEST,   0, 163N, 1327E, 125,  939, XX,  34, NEQ,   85,   55,   40,   75, 1007,  135,   5,   0,   0,   W,   0,   X, 260,  10,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103006,   , BEST,   0, 163N, 1316E, 150,  911, XX,  34, NEQ,   55,   45,   35,   55, 1005,  155,   5,   0,   0,   W,   0,   X, 265,   9,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103012,   , BEST,   0, 161N, 1309E, 155,  905, XX,  34, NEQ,   85,   65,   60,   80, 1007,  160,   5,   0,   0,   W,   0,   X, 265,   8,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103018,   , BEST,   0, 158N, 1299E, 155,  904, XX,  34, NEQ,   50,   35,   35,   55, 1004,  160,   5,   0,   0,   W,   0,   X, 260,   9,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103100,   , BEST,   0, 153N, 1288E, 160,  895, XX,  34, NEQ,  115,   85,  100,  115, 1004,  150,   5,   0,   0,   W,   0,   X, 250,  10,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103106,   , BEST,   0, 147N, 1276E, 155,  900, XX,  34, NEQ,  100,   70,   90,  110, 1004,  145,   6,   0,   0,   W,   0,   X, 245,  12,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103112,   , BEST,   0, 142N, 1265E, 155,  904, XX,  34, NEQ,   90,   80,   70,  110, 1005,  150,   5,   0,   0,   W,   0,   X, 245,  12,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020103118,   , BEST,   0, 137N, 1251E, 170,  884, XX,  34, NEQ,   90,   80,   70,  110, 1003,  165,   5,   0,   0,   W,   0,   X, 245,  13,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110100,   , BEST,   0, 135N, 1236E, 115,  947, XX,  34, NEQ,  130,  100,   85,  145, 1006,  180,   5,   0,   0,   W,   0,   X, 255,  14,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110106,   , BEST,   0, 136N, 1225E,  75,  980, XX,  34, NEQ,  125,  105,   80,  135, 1005,  170,   5,   0,   0,   W,   0,   X, 260,  13,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110112,   , BEST,   0, 141N, 1212E,  60,  990, XX,  34, NEQ,   60,   55,  100,   90, 1007,  150,   5,   0,   0,   W,   0,   X, 275,  13,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110118,   , BEST,   0, 147N, 1195E,  55,  992, XX,  34, NEQ,  110,   70,   60,  125, 1006,  160,  30,   0,   0,   W,   0,   X, 285,  14,       GONI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110200,   , BEST,   0, 149N, 1185E,  40, 1002, XX,  34, NEQ,  110,   65,   55,  125, 1009,  210,  30,   0,   0,   W,   0,   X, 290,  14,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110206,   , BEST,   0, 153N, 1180E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   W,   0,   X, 290,  11,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110212,   , BEST,   0, 151N, 1168E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   W,   0,   X, 280,  10,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110218,   , BEST,   0, 151N, 1158E,  35, 1003, XX,  34, NEQ,    5,    5,    5,   55, 1008,  160,  30,   0,   0,   W,   0,   X, 275,  10,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110300,   , BEST,   0, 148N, 1154E,  35, 1002, XX,  34, NEQ,    5,    5,    5,   55, 1008,   82,  30,   0,   0,   W,   0,   X, 265,   8,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110306,   , BEST,   0, 147N, 1151E,  35, 1006, XX,  34, NEQ,   35,    0,   40,   80, 1010,  195,  30,   0,   0,   W,   0,   X, 255,   6,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110312,   , BEST,   0, 147N, 1146E,  35, 1004, XX,  34, NEQ,   30,    0,   65,   65, 1009,  175,  30,   0,   0,   W,   0,   X, 255,   5,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110318,   , BEST,   0, 146N, 1142E,  35, 1004, XX,  34, NEQ,   20,    0,   40,   60, 1009,  175,  30,   0,   0,   W,   0,   X, 265,   4,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110400,   , BEST,   0, 144N, 1134E,  35, 1005, XX,  34, NEQ,   20,    0,   40,   60, 1009,  175,  30,   0,   0,   W,   0,   X, 260,   6,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110406,   , BEST,   0, 144N, 1133E,  35, 1002, XX,  34, NEQ,   85,    0,   40,   85, 1008,  170,  30,   0,   0,   W,   0,   X, 260,   5,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110412,   , BEST,   0, 143N, 1126E,  35, 1004, XX,  34, NEQ,   75,    0,    0,   55, 1009,  175,  30,   0,   0,   W,   0,   X, 260,   5,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110418,   , BEST,   0, 142N, 1125E,  40, 1000, XX,  34, NEQ,   75,   45,   55,   65, 1008,  150,  30,   0,   0,   W,   0,   X, 255,   4,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110500,   , BEST,   0, 142N, 1119E,  40, 1002, XX,  34, NEQ,   85,   65,   60,   70, 1010,  170,  30,   0,   0,   W,   0,   X, 260,   5,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110506,   , BEST,   0, 140N, 1114E,  35, 1002, XX,  34, NEQ,   70,    0,   65,   80, 1008,  140,  30,   0,   0,   W,   0,   X, 260,   5,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110512,   , BEST,   0, 140N, 1112E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1010,  140,  30,   0,   0,   W,   0,   X, 260,   4,       GONI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110518,   , BEST,   0, 140N, 1103E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  30,   0,   0,   W,   0,   X, 265,   5,       GONI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110600,   , BEST,   0, 139N, 1092E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,   95,  40,   0,   0,   W,   0,   X, 270,   7,       GONI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
WP, 22, 2020110606,   , BEST,   0, 142N, 1086E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,   95,  40,   0,   0,   W,   0,   X, 275,   8,       GONI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222020, JTWC, NCEP_TCVITALS, 
