WP, 23, 2020102912,   , BEST,   0, 082N, 1484E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  40,   0,   0,   W,   0,   X, 335,   9,  TWENTY-TH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020102918,   , BEST,   0, 094N, 1474E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  185,  40,   0,   0,   W,   0,   X, 335,  12,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103000,   , BEST,   0, 103N, 1460E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  40,   0,   0,   W,   0,   X, 325,  14,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103006,   , BEST,   0, 113N, 1433E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  40,   0,   0,   W,   0,   X, 305,  19,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103012,   , BEST,   0, 120N, 1422E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  165,  40,   0,   0,   W,   0,   X, 295,  14,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103018,   , BEST,   0, 124N, 1407E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  60,   0,   0,   W,   0,   X, 290,  14,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103100,   , BEST,   0, 133N, 1397E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  60,   0,   0,   W,   0,   X, 295,  13,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103106,   , BEST,   0, 142N, 1387E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  140,  50,   0,   0,   W,   0,   X, 305,  14,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103112,   , BEST,   0, 147N, 1376E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  105,  45,   0,   0,   W,   0,   X, 310,  13,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020103118,   , BEST,   0, 148N, 1365E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  115,  45,   0,   0,   W,   0,   X, 295,  11,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110100,   , BEST,   0, 157N, 1344E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  125,  45,   0,   0,   W,   0,   X, 290,  15,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
