WP, 25, 2020110906,   , BEST,   0, 120N, 1309E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  45,   0,   0,   W,   0,   X, 315,  13,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020110912,   , BEST,   0, 127N, 1307E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  155,  45,   0,   0,   W,   0,   X, 325,  10,      VAMCO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020110918,   , BEST,   0, 127N, 1294E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  90,   0,   0,   W,   0,   X, 315,   9,      VAMCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111000,   , BEST,   0, 133N, 1285E,  35, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1008,  225,  90,   0,   0,   W,   0,   X, 310,   9,      VAMCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111006,   , BEST,   0, 135N, 1280E,  40,  998, XX,  34, NEQ,  100,  125,   85,  120, 1008,  210,  65,   0,   0,   W,   0,   X, 305,   7,      VAMCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111012,   , BEST,   0, 140N, 1267E,  50,  995, XX,  34, NEQ,   75,   95,   70,  110, 1008,  225,  25,   0,   0,   W,   0,   X, 295,  10,      VAMCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111018,   , BEST,   0, 147N, 1259E,  60,  989, XX,  34, NEQ,  140,  135,   30,  120, 1007,  185,  35,   0,   0,   W,   0,   X, 300,  11,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111100,   , BEST,   0, 148N, 1245E,  75,  982, XX,  34, NEQ,  160,  130,   95,  150, 1010,  210,  35,   0,   0,   W,   0,   X, 290,  12,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111106,   , BEST,   0, 146N, 1234E,  80,  975, XX,  34, NEQ,  160,  115,   90,  175, 1010,  210,  20,   0,   0,   W,   0,   X, 275,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111112,   , BEST,   0, 146N, 1229E,  90,  970, XX,  34, NEQ,  115,   90,  105,  120, 1007,  220,   5,   0,   0,   W,   0,   X, 270,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111118,   , BEST,   0, 150N, 1213E,  95,  961, XX,  34, NEQ,  230,  130,  105,  315, 1007,  220,   5,   0,   0,   W,   0,   X, 275,  11,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111200,   , BEST,   0, 152N, 1196E,  80,  974, XX,  34, NEQ,  225,  130,  105,  305, 1007,  220,  10,   0,   0,   W,   0,   X, 280,  13,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
