WP, 26, 2020122000,   , BEST,   0, 099N, 1154E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  65,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122006,   , BEST,   0, 103N, 1149E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  65,   0,   0,   W,   0,   X, 280,  12,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122012,   , BEST,   0, 101N, 1141E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  170,  50,   0,   0,   W,   0,   X, 270,   9,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122018,   , BEST,   0, 098N, 1142E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  170,  50,   0,   0,   W,   0,   X, 260,   6,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122100,   , BEST,   0, 096N, 1136E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  170,  50,   0,   0,   W,   0,   X, 255,   6,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122106,   , BEST,   0, 092N, 1128E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  160,  60,   0,   0,   W,   0,   X, 250,   7,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122112,   , BEST,   0, 091N, 1119E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  60,   0,   0,   W,   0,   X, 255,   8,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122118,   , BEST,   0, 087N, 1115E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  60,   0,   0,   W,   0,   X, 245,   8,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122200,   , BEST,   0, 083N, 1110E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  60,   0,   0,   W,   0,   X, 245,   7,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122206,   , BEST,   0, 077N, 1104E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   W,   0,   X, 235,   7,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122212,   , BEST,   0, 076N, 1098E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  155,  35,   0,   0,   W,   0,   X, 245,   7,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122218,   , BEST,   0, 084N, 1089E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  125,  35,   0,   0,   W,   0,   X, 285,   7,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122300,   , BEST,   0, 083N, 1081E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,   95,  35,   0,   0,   W,   0,   X, 280,   8,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122318,   , BEST,   0, 082N, 1056E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,   70,  35,   0,   0,   W,   0,   X, 270,   8,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122400,   , BEST,   0, 080N, 1042E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,   70,  35,   0,   0,   W,   0,   X, 260,  11,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
WP, 26, 2020122418,   , BEST,   0, 083N, 1007E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,   90,  35,   0,   0,   W,   0,   X, 285,  11,    KROVANH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262020, JTWC, NCEP_TCVITALS, 
