SH, 10, 2021011518,   , BEST,   0, 164S, 0941E,  35, 1002, XX,  34, NEQ,    0,   40,   50,    0, 1006,  180,  20,   0,   0,   S,   0,   X, 225,   7,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011600,   , BEST,   0, 169S, 0933E,  35, 1002, XX,  34, NEQ,    0,   45,   50,   30, 1006,  180,  20,   0,   0,   S,   0,   X, 230,   8,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011606,   , BEST,   0, 166S, 0929E,  35, 1001, XX,  34, NEQ,    0,   65,   75,   50, 1006,  180,  35,   0,   0,   S,   0,   X, 245,   7,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011612,   , BEST,   0, 171S, 0920E,  40,  998, XX,  34, NEQ,   45,   65,   75,   50, 1005,  185,  25,   0,   0,   S,   0,   X, 245,   8,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011618,   , BEST,   0, 175S, 0914E,  35, 1001, XX,  34, NEQ,   45,   60,   70,   50, 1005,  185,  25,   0,   0,   S,   0,   X, 245,   7,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011700,   , BEST,   0, 178S, 0908E,  35,  999, XX,  34, NEQ,   50,   60,   70,   50, 1004,  185,  25,   0,   0,   S,   0,   X, 245,   7,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011706,   , BEST,   0, 184S, 0899E,  35, 1000, XX,  34, NEQ,   50,   60,   70,   50, 1004,  185,  25,   0,   0,   S,   0,   X, 240,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011712,   , BEST,   0, 190S, 0893E,  40,  998, XX,  34, NEQ,   50,   60,   70,   50, 1004,  185,  25,   0,   0,   S,   0,   X, 230,   9,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011712,   , BEST,   0, 189S, 0894E,  40,  998, XX,  34, NEQ,   50,   60,   70,   50, 1004,  185,  25,   0,   0,   S,   0,   X, 230,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011718,   , BEST,   0, 192S, 0886E,  40, 1000, XX,  34, NEQ,   50,   60,   70,   50, 1006,  180,  25,   0,   0,   S,   0,   X, 235,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011800,   , BEST,   0, 197S, 0879E,  40,  999, XX,  34, NEQ,   50,   60,   70,   50, 1005,  165,  25,   0,   0,   S,   0,   X, 240,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011806,   , BEST,   0, 195S, 0872E,  45,  998, XX,  34, NEQ,   35,   40,   45,   30, 1006,  145,  25,   0,   0,   S,   0,   X, 255,   7,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011812,   , BEST,   0, 195S, 0863E,  40, 1000, XX,  34, NEQ,   35,   40,   45,   30, 1006,  145,  25,   0,   0,   S,   0,   X, 260,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011818,   , BEST,   0, 194S, 0856E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  120,  50,   0,   0,   S,   0,   X, 270,   8,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011900,   , BEST,   0, 197S, 0845E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  105,  40,   0,   0,   S,   0,   X, 265,   9,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011906,   , BEST,   0, 193S, 0832E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  105,  40,   0,   0,   S,   0,   X, 275,  10,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
SH, 10, 2021011912,   , BEST,   0, 193S, 0824E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  105,  40,   0,   0,   S,   0,   X, 270,  10,     JOSHUA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH102021, JTWC, NCEP_TCVITALS, 
