SH, 01, 2020111400,   , BEST,   0, 074S, 0797E,  45,  997, XX,  34, NEQ,   80,   65,   85,  110, 1006,  150,  40,   0,   0,   S,   0,   X, 245,  16,     ALICIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111406,   , BEST,   0, 082S, 0782E,  45,  996, XX,  34, NEQ,   85,   70,   70,  105, 1006,  160,  35,   0,   0,   S,   0,   X, 245,  17,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111412,   , BEST,   0, 095S, 0772E,  50,  994, XX,  34, NEQ,   70,   70,   55,   40, 1005,  120,  25,   0,   0,   S,   0,   X, 235,  17,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111418,   , BEST,   0, 105S, 0762E,  55,  991, XX,  34, NEQ,   90,  110,   75,   80, 1005,  120,  25,   0,   0,   S,   0,   X, 230,  15,     ALICIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111500,   , BEST,   0, 118S, 0747E,  55,  991, XX,  34, NEQ,   90,  110,   75,   80, 1005,  170,  30,   0,   0,   S,   0,   X, 230,  17,     ALICIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111506,   , BEST,   0, 132S, 0738E,  60,  988, XX,  34, NEQ,  100,  120,   90,   75, 1004,  170,  20,   0,   0,   S,   0,   X, 220,  17,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111512,   , BEST,   0, 136S, 0733E,  60,  986, XX,  34, NEQ,  110,  130,   95,   70, 1005,  160,  20,   0,   0,   S,   0,   X, 220,  14,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111518,   , BEST,   0, 142S, 0732E,  65,  986, XX,  34, NEQ,  105,  130,   90,   65, 1007,  180,  20,   0,   0,   S,   0,   X, 215,  10,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111600,   , BEST,   0, 156S, 0728E,  65,  984, XX,  34, NEQ,  105,  125,   95,   60, 1005,  180,  20,   0,   0,   S,   0,   X, 205,  11,     ALICIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111606,   , BEST,   0, 163S, 0723E,  65,  983, XX,  34, NEQ,   70,   60,   95,   50, 1005,  135,  20,   0,   0,   S,   0,   X, 200,  10,     ALICIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111612,   , BEST,   0, 167S, 0718E,  55,  986, XX,  34, NEQ,   55,   45,   75,   45, 1005,  135,  20,   0,   0,   S,   0,   X, 210,   8,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111618,   , BEST,   0, 166S, 0718E,  45,  996, XX,  34, NEQ,   40,   55,   55,   55, 1005,  160,  25,   0,   0,   S,   0,   X, 215,   5,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111700,   , BEST,   0, 166S, 0717E,  45,  994, XX,  34, NEQ,   40,   55,   55,   55, 1004,  160,  25,   0,   0,   S,   0,   X, 225,   3,     ALICIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111706,   , BEST,   0, 170S, 0716E,  35,  999, XX,  34, NEQ,   40,   55,   50,   55, 1004,  160,  30,   0,   0,   S,   0,   X, 215,   3,     ALICIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111712,   , BEST,   0, 172S, 0714E,  35,  999, XX,  34, NEQ,   45,   45,   55,   55, 1004,  160,  30,   0,   0,   S,   0,   X, 215,   3,     ALICIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111718,   , BEST,   0, 181S, 0706E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1004,  125,  30,   0,   0,   S,   0,   X, 220,   6,     ALICIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111800,   , BEST,   0, 181S, 0705E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  40,   0,   0,   S,   0,   X, 225,   5,     ALICIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
SH, 01, 2020111818,   , BEST,   0, 200S, 0685E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  40,   0,   0,   S,   0,   X, 230,   8,     ALICIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012021, JTWC, NCEP_TCVITALS, 
