SH, 12, 2021011706,   , BEST,   0, 126S, 0621E,  35, 1000, XX,  34, NEQ,   65,   55,   55,   65, 1004,  200,  40,   0,   0,   S,   0,   X, 270,  10,     ELOISE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011712,   , BEST,   0, 127S, 0612E,  35, 1000, XX,  34, NEQ,   65,   55,   55,   65, 1004,  200,  40,   0,   0,   S,   0,   X, 265,  10,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011718,   , BEST,   0, 132S, 0596E,  40, 1001, XX,  34, NEQ,   70,   60,   60,   65, 1007,  200,  30,   0,   0,   S,   0,   X, 260,  12,     ELOISE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011800,   , BEST,   0, 134S, 0583E,  45,  997, XX,  34, NEQ,   75,   65,   60,   70, 1005,  225,  30,   0,   0,   S,   0,   X, 255,  13,     ELOISE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011806,   , BEST,   0, 137S, 0566E,  45,  998, XX,  34, NEQ,   75,   65,   60,   70, 1006,  225,  30,   0,   0,   S,   0,   X, 260,  15,     ELOISE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011812,   , BEST,   0, 139S, 0550E,  45,  998, XX,  34, NEQ,   75,   65,   60,   70, 1006,  225,  30,   0,   0,   S,   0,   X, 260,  15,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011818,   , BEST,   0, 141S, 0530E,  50,  996, XX,  34, NEQ,  100,   75,  110,   80, 1006,  230,  35,   0,   0,   S,   0,   X, 260,  17,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011900,   , BEST,   0, 143S, 0518E,  45,  998, XX,  34, NEQ,   95,   85,  110,   85, 1006,  230,  40,   0,   0,   S,   0,   X, 260,  16,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011906,   , BEST,   0, 144S, 0517E,  45,  998, XX,  34, NEQ,   95,   85,   90,   85, 1008,  205,  40,   0,   0,   S,   0,   X, 260,  11,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011912,   , BEST,   0, 152S, 0510E,  50,  994, XX,  34, NEQ,   85,   80,   75,   70, 1006,  190,  30,   0,   0,   S,   0,   X, 240,   7,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021011918,   , BEST,   0, 153S, 0501E,  45,  996, XX,  34, NEQ,   95,   80,   90,   80, 1006,  180,  30,   0,   0,   S,   0,   X, 240,   7,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021012000,   , BEST,   0, 155S, 0496E,  40,  997, XX,  34, NEQ,   85,   50,   50,   75,  998,  155,  25,   0,   0,   S,   0,   X, 245,   8,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021012006,   , BEST,   0, 153S, 0487E,  35, 1003, XX,  34, NEQ,   65,   45,   50,   65, 1007,  150,  25,   0,   0,   S,   0,   X, 265,   7,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021012012,   , BEST,   0, 156S, 0465E,  35, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021012018,   , BEST,   0, 152S, 0448E,  35, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012100,   , BEST,   0, 157S, 0432E,  35, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
