SH, 13, 2020020418,   , BEST,   0, 157S, 0663E,  35, 1002, XX,  34, NEQ,   60,   30,    0,    0, 1006,  170,  45,   0,   0,   S,   0,   X, 135,   6,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020500,   , BEST,   0, 163S, 0671E,  35, 1000, XX,  34, NEQ,   70,   40,    0,    0, 1004,  175,  30,   0,   0,   S,   0,   X, 130,   9,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020506,   , BEST,   0, 170S, 0682E,  40,  996, XX,  34, NEQ,  125,  140,  135,  150, 1005,  175,  30,   0,   0,   S,   0,   X, 125,  10,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020512,   , BEST,   0, 176S, 0692E,  45,  994, XX,  34, NEQ,  135,  160,   80,  105, 1005,  175,  25,   0,   0,   S,   0,   X, 125,  11,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020518,   , BEST,   0, 176S, 0703E,  40,  996, XX,  34, NEQ,   95,  170,  120,   70, 1004,  170,  40,   0,   0,   S,   0,   X, 110,  11,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020600,   , BEST,   0, 182S, 0708E,  40,  995, XX,  34, NEQ,  130,  165,   75,  100, 1004,  170,  50,   0,   0,   S,   0,   X, 120,   9,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020606,   , BEST,   0, 191S, 0717E,  35, 1000, XX,  34, NEQ,  160,  160,   95,   95, 1007,  185,  50,   0,   0,   S,   0,   X, 130,   9,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020612,   , BEST,   0, 198S, 0718E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  50,   0,   0,   S,   0,   X, 145,   9,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020706,   , BEST,   0, 203S, 0705E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   S,   0,   X, 250,   4,  FRANCISCO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020712,   , BEST,   0, 203S, 0696E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  140,  50,   0,   0,   S,   0,   X, 275,   6,  FRANCISCO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
SH, 13, 2020020718,   , BEST,   0, 204S, 0687E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  50,   0,   0,   S,   0,   X, 270,   8,  FRANCISCO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132020, JTWC, NCEP_TCVITALS, 
