SH, 13, 2021012100,   , BEST,   0, 124S, 0972E,  35,  999, XX,  34, NEQ,   45,   60,   60,   70, 1004,  190,  40,   0,   0,   S,   0,   X, 210,   6,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012106,   , BEST,   0, 123S, 0969E,  35, 1000, XX,  34, NEQ,   50,   60,   60,   70, 1005,  200,  40,   0,   0,   S,   0,   X, 230,   6,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012112,   , BEST,   0, 128S, 0973E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  35,   0,   0,   S,   0,   X, 280,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012118,   , BEST,   0, 129S, 0977E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  35,   0,   0,   S,   0,   X, 280,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012200,   , BEST,   0, 133S, 0975E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  35,   0,   0,   S,   0,   X, 285,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012206,   , BEST,   0, 132S, 0973E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  35,   0,   0,   S,   0,   X, 290,  14,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012212,   , BEST,   0, 133S, 0973E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  35,   0,   0,   S,   0,   X, 285,  17,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012218,   , BEST,   0, 133S, 0973E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 275,  20,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012300,   , BEST,   0, 141S, 0972E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012306,   , BEST,   0, 143S, 0975E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012312,   , BEST,   0, 151S, 0976E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
