SH, 14, 2020020600,   , BEST,   0, 171S, 1209E,  35,  998, XX,  34, NEQ,   80,   80,  105,   75, 1004,  190,  30,   0,   0,   S,   0,   X, 255,   7,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020606,   , BEST,   0, 171S, 1195E,  40,  995, XX,  34, NEQ,  100,   85,   90,  100, 1003,  165,  30,   0,   0,   S,   0,   X, 260,   9,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020612,   , BEST,   0, 175S, 1186E,  50,  992, XX,  34, NEQ,   95,   85,   80,   95, 1004,  155,  30,   0,   0,   S,   0,   X, 255,   9,     DAMIEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020618,   , BEST,   0, 177S, 1174E,  55,  990, XX,  34, NEQ,   55,   85,   80,   60, 1004,  175,  25,   0,   0,   S,   0,   X, 255,  10,     DAMIEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020700,   , BEST,   0, 179S, 1174E,  60,  986, XX,  34, NEQ,  105,   75,   75,   70, 1004,  170,  30,   0,   0,   S,   0,   X, 250,   7,     DAMIEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020706,   , BEST,   0, 181S, 1170E,  65,  981, XX,  34, NEQ,   55,   95,   80,   65, 1003,  165,  20,   0,   0,   S,   0,   X, 235,   5,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020712,   , BEST,   0, 186S, 1168E,  75,  976, XX,  34, NEQ,   60,  105,   95,   75, 1005,  185,   5,   0,   0,   S,   0,   X, 220,   5,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020718,   , BEST,   0, 191S, 1166E,  85,  969, XX,  34, NEQ,   70,  100,  100,   70, 1005,  200,   5,   0,   0,   S,   0,   X, 205,   5,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020800,   , BEST,   0, 198S, 1164E,  90,  966, XX,  34, NEQ,   75,  105,  105,   75, 1006,  200,  15,   0,   0,   S,   0,   X, 200,   6,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020806,   , BEST,   0, 204S, 1166E,  95,  961, XX,  34, NEQ,  100,  120,   95,   90, 1006,  200,  15,   0,   0,   S,   0,   X, 185,   6,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020812,   , BEST,   0, 213S, 1169E,  85,  969, XX,  34, NEQ,  100,  120,   75,   85, 1006,  200,  15,   0,   0,   S,   0,   X, 175,   7,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020818,   , BEST,   0, 221S, 1173E,  65,  983, XX,  34, NEQ,   95,  100,   70,   85, 1006,  210,  15,   0,   0,   S,   0,   X, 165,   8,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020900,   , BEST,   0, 230S, 1179E,  50,  993, XX,  34, NEQ,   75,   80,   65,   50, 1006,  210,  15,   0,   0,   S,   0,   X, 155,  10,     DAMIEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
SH, 14, 2020020906,   , BEST,   0, 234S, 1176E,  40,  992, XX,  34, NEQ,   90,   80,   70,   75, 1001,  170,  15,   0,   0,   S,   0,   X, 165,   7,     DAMIEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142020, JTWC, NCEP_TCVITALS, 
