SH, 15, 2020020900,   , BEST,   0, 151S, 1636E,  35,  996, XX,  34, NEQ,   70,   80,    0,    0, 1002,  180,  40,   0,   0,   P,   0,   X, 180,   4,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020020906,   , BEST,   0, 154S, 1633E,  35,  995, XX,  34, NEQ,  130,  110,   90,   85, 1002,  180,  40,   0,   0,   P,   0,   X, 195,   4,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020020912,   , BEST,   0, 158S, 1637E,  40,  994, XX,  34, NEQ,   65,   85,   75,   20, 1002,  180,  40,   0,   0,   P,   0,   X, 170,   4,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020020918,   , BEST,   0, 164S, 1636E,  55,  986, XX,  34, NEQ,   80,   95,   75,   20, 1001,  185,  25,   0,   0,   P,   0,   X, 170,   5,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021000,   , BEST,   0, 170S, 1630E,  55,  986, XX,  34, NEQ,   60,  115,  115,   45, 1002,  190,  20,   0,   0,   P,   0,   X, 195,   6,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021006,   , BEST,   0, 174S, 1625E,  60,  982, XX,  34, NEQ,  130,  165,  130,   70, 1002,  190,  25,   0,   0,   P,   0,   X, 215,   7,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021012,   , BEST,   0, 176S, 1625E,  65,  979, XX,  34, NEQ,   90,  160,  135,   85, 1002,  190,  15,   0,   0,   P,   0,   X, 220,   5,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021018,   , BEST,   0, 181S, 1625E,  65,  978, XX,  34, NEQ,   95,  145,  130,   80, 1002,  200,  35,   0,   0,   P,   0,   X, 205,   4,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021100,   , BEST,   0, 188S, 1626E,  75,  974, XX,  34, NEQ,   80,   90,   70,   75, 1002,  190,   5,   0,   0,   P,   0,   X, 185,   5,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021106,   , BEST,   0, 196S, 1626E,  75,  971, XX,  34, NEQ,  115,  135,   75,   60, 1000,  190,  10,   0,   0,   P,   0,   X, 175,   7,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021112,   , BEST,   0, 205S, 1627E,  70,  975, XX,  34, NEQ,   95,  150,  170,   80, 1002,  185,  20,   0,   0,   P,   0,   X, 175,   8,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
