SH, 15, 2021013000,   , BEST,   0, 161S, 1765E,  35,  997, XX,  34, NEQ,  155,   75,   25,   60, 1002,  270,  80,   0,   0,   P,   0,   X, 100,  11,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013006,   , BEST,   0, 166S, 1769E,  40,  991, XX,  34, NEQ,  165,  130,   75,  210, 1001,  230,  45,   0,   0,   P,   0,   X, 120,  10,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013012,   , BEST,   0, 168S, 1774E,  50,  986, XX,  34, NEQ,  165,  130,   75,  210, 1001,  230,  35,   0,   0,   P,   0,   X, 125,   7,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013018,   , BEST,   0, 175S, 1782E,  60,  978, XX,  34, NEQ,  185,  140,   95,  205,  999,  200,  25,   0,   0,   P,   0,   X, 130,   7,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013100,   , BEST,   0, 182S, 1786E,  65,  976, XX,  34, NEQ,  165,  120,   60,  180,  999,  200,  15,   0,   0,   P,   0,   X, 140,   8,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013106,   , BEST,   0, 188S, 1782E,  65,  976, XX,  34, NEQ,  165,  120,   60,  180,  999,  190,  15,   0,   0,   P,   0,   X, 160,   7,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013112,   , BEST,   0, 196S, 1786E,  55,  981, XX,  34, NEQ,  150,  135,  155,  160,  999,  190,  20,   0,   0,   P,   0,   X, 165,   8,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021013118,   , BEST,   0, 205S, 1790E,  55,  981, XX,  34, NEQ,  150,  145,  115,  150,  999,  180,  20,   0,   0,   P,   0,   X, 165,   8,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020100,   , BEST,   0, 212S, 1791E,  55,  982, XX,  34, NEQ,  175,  145,  125,  100, 1000,  175,  30,   0,   0,   P,   0,   X, 160,   9,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020106,   , BEST,   0, 219S, 1795E,  50,  983, XX,  34, NEQ,  175,  145,  125,  100,  999,  190,  45,   0,   0,   P,   0,   X, 160,   8,        ANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020112,   , BEST,   0, 227S, 1800E,  50,  980, XX,  34, NEQ,  240,  190,  195,  105,  999,  190,  45,   0,   0,   P,   0,   X, 155,   9,        ANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020118,   , BEST,   0, 231S, 1796E,  40,  984, XX,  34, NEQ,  245,  165,  185,  115, 1000,  200,  45,   0,   0,   P,   0,   X, 165,   7,        ANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020206,   , BEST,   0, 244S, 1766W,  35,  993, XX,  34, NEQ,    0,    0,    0,    0, 1000,  190,  45,   0,   0,   P,   0,   X, 120,  14,        ANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
SH, 15, 2021020212,   , BEST,   0, 247S, 1756W,  45,  986, XX,  34, NEQ,  180,  180,  195,  155, 1003,  210,  45,   0,   0,   P,   0,   X, 115,  15,        ANA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152021, JTWC, NCEP_TCVITALS, 
