SH, 16, 2020021506,   , BEST,   0, 164S, 0745E,  35, 1000, XX,  34, NEQ,   45,   40,    0,    0, 1004,  130,  30,   0,   0,   S,   0,   X, 205,   5,    SIXTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021512,   , BEST,   0, 171S, 0741E,  45,  995, XX,  34, NEQ,   50,   55,    0,    0, 1004,  170,  30,   0,   0,   S,   0,   X, 205,   6,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021518,   , BEST,   0, 175S, 0743E,  55,  985, XX,  34, NEQ,   45,   50,   35,   30, 1009,  220,  20,   0,   0,   S,   0,   X, 195,   5,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021600,   , BEST,   0, 184S, 0746E,  75,  981, XX,  34, NEQ,   55,   70,   50,   50, 1009,  220,  25,   0,   0,   S,   0,   X, 175,   7,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021606,   , BEST,   0, 192S, 0747E,  75,  980, XX,  34, NEQ,   60,   70,   55,   55, 1007,  170,  25,   0,   0,   S,   0,   X, 170,   7,   GABEKILE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021612,   , BEST,   0, 202S, 0750E,  75,  978, XX,  34, NEQ,   85,   80,   60,   60, 1005,  165,  20,   0,   0,   S,   0,   X, 165,   9,   GABEKILE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021618,   , BEST,   0, 210S, 0753E,  75,  978, XX,  34, NEQ,   65,   75,   60,   50, 1005,  165,  20,   0,   0,   S,   0,   X, 165,   9,   GABEKILE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021700,   , BEST,   0, 203S, 0753E,  70,  980, XX,  34, NEQ,   60,   70,   60,   55, 1004,  140,  15,   0,   0,   S,   0,   X, 155,   4,   GABEKILE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021706,   , BEST,   0, 202S, 0753E,  60,  986, XX,  34, NEQ,   70,  140,  130,   35, 1007,  165,  25,   0,   0,   S,   0,   X,  90,   1,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021712,   , BEST,   0, 203S, 0754E,  45,  993, XX,  34, NEQ,   75,  110,  105,   35, 1005,  165,  30,   0,   0,   S,   0,   X,  55,   1,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021718,   , BEST,   0, 204S, 0756E,  35, 1000, XX,  34, NEQ,   50,  110,   95,   45, 1007,  170,  30,   0,   0,   S,   0,   X, 105,   1,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021800,   , BEST,   0, 205S, 0758E,  35, 1001, XX,  34, NEQ,   40,  100,   80,   40, 1007,  170,  30,   0,   0,   S,   0,   X, 125,   2,   GABEKILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021806,   , BEST,   0, 206S, 0758E,  35, 1002, XX,  34, NEQ,   50,   50,   50,    0, 1007,  170,  30,   0,   0,   S,   0,   X, 130,   2,   GABEKILE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021812,   , BEST,   0, 210S, 0755E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  35,   0,   0,   S,   0,   X, 190,   2,   GABEKILE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021818,   , BEST,   0, 214S, 0750E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  35,   0,   0,   S,   0,   X, 215,   4,   GABEKILE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021900,   , BEST,   0, 219S, 0749E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  35,   0,   0,   S,   0,   X, 210,   5,   GABEKILE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
SH, 16, 2020021906,   , BEST,   0, 229S, 0745E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  35,   0,   0,   S,   0,   X, 205,   7,   GABEKILE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH162020, JTWC, NCEP_TCVITALS, 
