SH, 17, 2021013100,   , BEST,   0, 139S, 1523E,  40,  995, XX,  34, NEQ,   30,   30,   25,   45, 1001,  180,  45,   0,   0,   P,   0,   X, 100,  10,  SEVENTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021013106,   , BEST,   0, 139S, 1532E,  50,  989, XX,  34, NEQ,   90,   50,   40,  100, 1001,  225,  45,   0,   0,   P,   0,   X,  90,   9,  SEVENTEEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021013112,   , BEST,   0, 131S, 1552E,  55,  987, XX,  34, NEQ,  105,   55,   80,  110, 1001,  210,  40,   0,   0,   P,   0,   X,  80,  12,      LUCAS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021013118,   , BEST,   0, 134S, 1572E,  55,  989, XX,  34, NEQ,   50,   25,   60,   70, 1001,  210,  40,   0,   0,   P,   0,   X,  85,  16,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020100,   , BEST,   0, 141S, 1585E,  50,  992, XX,  34, NEQ,  115,   25,   60,   70, 1002,  195,  15,   0,   0,   P,   0,   X,  95,  15,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020106,   , BEST,   0, 148S, 1609E,  55,  986, XX,  34, NEQ,  120,  110,   65,  140, 1000,  195,  15,   0,   0,   P,   0,   X, 105,  19,      LUCAS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020112,   , BEST,   0, 157S, 1626E,  65,  980, XX,  34, NEQ,  145,   90,   70,  145, 1000,  195,  15,   0,   0,   P,   0,   X, 110,  19,      LUCAS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020118,   , BEST,   0, 166S, 1640E,  60,  983, XX,  34, NEQ,  145,   90,   70,  145, 1000,  195,  15,   0,   0,   P,   0,   X, 115,  19,      LUCAS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020200,   , BEST,   0, 171S, 1650E,  45,  990, XX,  34, NEQ,  145,   90,   80,  135, 1000,  185,  40,   0,   0,   P,   0,   X, 120,  15,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020206,   , BEST,   0, 184S, 1661E,  45,  990, XX,  34, NEQ,  235,  110,   85,   70, 1000,  220,  40,   0,   0,   P,   0,   X, 130,  14,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020212,   , BEST,   0, 196S, 1668E,  50,  988, XX,  34, NEQ,  140,  110,   95,   75, 1000,  220,  40,   0,   0,   P,   0,   X, 140,  13,      LUCAS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020218,   , BEST,   0, 206S, 1673E,  40,  991, XX,  34, NEQ,   70,  105,  135,  100, 1000,  230,  40,   0,   0,   P,   0,   X, 150,  14,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020300,   , BEST,   0, 219S, 1671E,  40,  990, XX,  34, NEQ,   75,   80,  110,   65, 1000,  230,  60,   0,   0,   P,   0,   X, 165,  12,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020306,   , BEST,   0, 227S, 1668E,  40,  990, XX,  34, NEQ,   65,  165,  150,   70, 1000,  190,  60,   0,   0,   P,   0,   X, 180,  10,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020312,   , BEST,   0, 227S, 1668E,  40,  991, XX,  34, NEQ,   60,  180,  180,   50, 1001,  225,  60,   0,   0,   P,   0,   X, 180,  10,      LUCAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020318,   , BEST,   0, 226S, 1663E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  45,   0,   0,   P,   0,   X, 225,   3,      LUCAS, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020400,   , BEST,   0, 226S, 1656E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1003,  185,  45,   0,   0,   P,   0,   X, 265,   4,      LUCAS, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
SH, 17, 2021020406,   , BEST,   0, 231S, 1656E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  185,  45,   0,   0,   P,   0,   X, 245,   4,      LUCAS, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172021, JTWC, NCEP_TCVITALS, 
