SH, 18, 2021013112,   , BEST,   0, 214S, 1211E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  200,  30,   0,   0,   S,   0,   X, 225,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021013118,   , BEST,   0, 213S, 1198E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  30,   0,   0,   S,   0,   X, 245,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020100,   , BEST,   0, 206S, 1190E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  30,   0,   0,   S,   0,   X, 275,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020106,   , BEST,   0, 206S, 1190E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  30,   0,   0,   S,   0,   X, 275,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020112,   , BEST,   0, 211S, 1181E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  35,   0,   0,   S,   0,   X, 275,   7,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020118,   , BEST,   0, 215S, 1171E,  30,  992, XX,  34, NEQ,    0,    0,    0,    0, 1001,  175,  30,   0,   0,   S,   0,   X, 250,   8,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020200,   , BEST,   0, 221S, 1162E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  180,  30,   0,   0,   S,   0,   X, 240,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020206,   , BEST,   0, 229S, 1157E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1003,  265,  30,   0,   0,   S,   0,   X, 230,  10,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020212,   , BEST,   0, 236S, 1151E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1003,  265,  30,   0,   0,   S,   0,   X, 220,   9,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020218,   , BEST,   0, 242S, 1145E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1003,  250,  30,   0,   0,   S,   0,   X, 220,   9,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020300,   , BEST,   0, 237S, 1143E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1003,  220,  30,   0,   0,   S,   0,   X, 240,   5,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020306,   , BEST,   0, 239S, 1143E,  30,  994, XX,  34, NEQ,    0,    0,    0,    0, 1001,  220,  30,   0,   0,   S,   0,   X, 250,   3,   EIGHTEEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020312,   , BEST,   0, 239S, 1145E,  30,  992, XX,  34, NEQ,    0,    0,    0,    0, 1001,  180,  30,   0,   0,   S,   0,   X,    ,    ,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020318,   , BEST,   0, 238S, 1148E,  30,  992, XX,  34, NEQ,    0,    0,    0,    0, 1000,  180,  30,   0,   0,   S,   0,   X,  90,   1,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020400,   , BEST,   0, 243S, 1143E,  30,  993, XX,  34, NEQ,    0,    0,    0,    0, 1001,  150,  30,   0,   0,   S,   0,   X, 180,   1,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020406,   , BEST,   0, 244S, 1137E,  35,  996, XX,  34, NEQ,   30,   30,   60,   45, 1001,  150,  25,   0,   0,   S,   0,   X, 225,   3,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020412,   , BEST,   0, 246S, 1134E,  35,  992, XX,  34, NEQ,   30,   30,   60,   45, 1000,  190,  25,   0,   0,   S,   0,   X, 240,   5,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020418,   , BEST,   0, 248S, 1131E,  35,  996, XX,  34, NEQ,   15,   10,   55,   45, 1001,  190,  25,   0,   0,   S,   0,   X, 245,   4,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020500,   , BEST,   0, 251S, 1123E,  35,  996, XX,  34, NEQ,   15,   10,   55,   45, 1001,  190,  25,   0,   0,   S,   0,   X, 240,   5,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020506,   , BEST,   0, 249S, 1119E,  35,  992, XX,  34, NEQ,    0,   90,  105,    0, 1001,  190,  25,   0,   0,   S,   0,   X, 255,   5,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020512,   , BEST,   0, 248S, 1123E,  35,  991, XX,  34, NEQ,    0,   90,  105,    0, 1001,  190,  25,   0,   0,   S,   0,   X, 270,   2,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020518,   , BEST,   0, 252S, 1129E,  35,  995, XX,  34, NEQ,   35,   40,   50,   50, 1001,  200,  25,   0,   0,   S,   0,   X, 110,   2,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020600,   , BEST,   0, 260S, 1130E,  35,  995, XX,  34, NEQ,    0,   25,   90,   45, 1001,  205,  25,   0,   0,   S,   0,   X, 140,   5,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
SH, 18, 2021020606,   , BEST,   0, 271S, 1133E,  35,  996, XX,  34, NEQ,    0,   25,   85,   40, 1002,  270,  35,   0,   0,   S,   0,   X, 160,   8,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182021, JTWC, NCEP_TCVITALS, 
