SH, 19, 2020022312,   , BEST,   0, 151S, 1390E,  35,  996, XX,  34, NEQ,   95,  110,  110,   95, 1003,  215,  50,   0,   0,   P,   0,   X, 185,   4,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022318,   , BEST,   0, 161S, 1391E,  40,  995, XX,  34, NEQ,   95,  115,   55,   60, 1003,  195,  45,   0,   0,   P,   0,   X, 185,   6,     ESTHER, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022400,   , BEST,   0, 166S, 1383E,  45,  996, XX,  34, NEQ,   65,   55,   50,   65, 1005,  180,  30,   0,   0,   P,   0,   X, 210,   7,     ESTHER, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022406,   , BEST,   0, 167S, 1374E,  50,  992, XX,  34, NEQ,  110,   90,   70,   75, 1005,  180,  30,   0,   0,   P,   0,   X, 240,   8,     ESTHER, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022412,   , BEST,   0, 168S, 1365E,  40,  997, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  30,   0,   0,   P,   0,   X, 255,   9,     ESTHER, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022418,   , BEST,   0, 168S, 1366E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  160,  30,   0,   0,   P,   0,   X, 265,   5,     ESTHER, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022500,   , BEST,   0, 168S, 1360E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  30,   0,   0,   P,   0,   X, 265,   5,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022506,   , BEST,   0, 174S, 1354E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1003,  260,  30,   0,   0,   P,   0,   X, 250,   5,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022512,   , BEST,   0, 171S, 1343E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  260,  30,   0,   0,   P,   0,   X, 260,   7,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022518,   , BEST,   0, 171S, 1336E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  235,  30,   0,   0,   P,   0,   X, 260,   8,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022600,   , BEST,   0, 165S, 1335E,  35,  997, XX,  34, NEQ,   40,   45,   45,   40, 1006,  230,  30,   0,   0,   P,   0,   X, 300,   6,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022606,   , BEST,   0, 164S, 1323E,  35,  997, XX,  34, NEQ,   40,   45,   45,   40, 1002,  210,  30,   0,   0,   P,   0,   X, 290,   7,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022612,   , BEST,   0, 154S, 1320E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  210,  30,   0,   0,   P,   0,   X, 320,   8,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
