SH, 19, 2021020506,   , BEST,   0, 126S, 0814E,  35, 1003, XX,  34, NEQ,   50,   20,   80,   65, 1008,  165,  30,   0,   0,   S,   0,   X, 175,   5,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020512,   , BEST,   0, 134S, 0809E,  45,  999, XX,  34, NEQ,   50,   30,   80,   65, 1008,  165,  20,   0,   0,   S,   0,   X, 195,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020518,   , BEST,   0, 132S, 0803E,  50,  996, XX,  34, NEQ,   50,   50,   60,   50, 1008,  165,  20,   0,   0,   S,   0,   X, 225,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020600,   , BEST,   0, 136S, 0802E,  60,  987, XX,  34, NEQ,   50,   50,   70,   50, 1005,  155,  20,   0,   0,   S,   0,   X, 225,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020606,   , BEST,   0, 140S, 0798E,  55,  991, XX,  34, NEQ,   85,   90,   85,   65, 1007,  195,  20,   0,   0,   S,   0,   X, 225,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020612,   , BEST,   0, 143S, 0798E,  70,  979, XX,  34, NEQ,   95,  100,   85,   80, 1005,  220,  20,   0,   0,   S,   0,   X, 210,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020618,   , BEST,   0, 147S, 0796E,  75,  978, XX,  34, NEQ,   70,   90,   80,   50, 1007,  200,   6,   0,   0,   S,   0,   X, 210,   3,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020700,   , BEST,   0, 149S, 0797E, 100,  960, XX,  34, NEQ,   90,  110,  100,   70, 1006,  200,   5,   0,   0,   S,   0,   X, 185,   3,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020706,   , BEST,   0, 149S, 0799E, 115,  944, XX,  34, NEQ,   80,  100,   90,   80, 1007,  200,  15,   0,   0,   S,   0,   X, 170,   2,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020712,   , BEST,   0, 148S, 0800E, 110,  946, XX,  34, NEQ,   80,  100,   90,   80, 1005,  190,  15,   0,   0,   S,   0,   X, 105,   1,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020718,   , BEST,   0, 146S, 0802E, 115,  945, XX,  34, NEQ,   80,   90,   70,  100, 1005,  200,  15,   0,   0,   S,   0,   X,  65,   2,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
