SH, 02, 2020120712,   , BEST,   0, 151S, 0809E,  40, 1000, XX,  34, NEQ,   30,   90,   55,   30, 1006,  210,  30,   0,   0,   S,   0,   X, 235,  11,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120718,   , BEST,   0, 155S, 0800E,  45, 1000, XX,  34, NEQ,   35,   90,   80,   35, 1008,  160,  25,   0,   0,   S,   0,   X, 245,  11,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120800,   , BEST,   0, 159S, 0793E,  55,  993, XX,  34, NEQ,   60,   90,   85,   40, 1007,  160,  20,   0,   0,   S,   0,   X, 240,   9,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120806,   , BEST,   0, 168S, 0781E,  55,  992, XX,  34, NEQ,   55,   95,   75,   40, 1006,  165,  20,   0,   0,   S,   0,   X, 235,  11,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120812,   , BEST,   0, 177S, 0775E,  55,  992, XX,  34, NEQ,   55,   95,   70,   40, 1006,  175,  20,   0,   0,   S,   0,   X, 225,  11,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120818,   , BEST,   0, 187S, 0768E,  55,  995, XX,  34, NEQ,   80,  100,   80,   55, 1009,  175,  20,   0,   0,   S,   0,   X, 220,  12,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120900,   , BEST,   0, 198S, 0765E,  55,  993, XX,  34, NEQ,   85,   95,   70,   45, 1007,  155,  15,   0,   0,   S,   0,   X, 205,  11,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120906,   , BEST,   0, 205S, 0760E,  45,  998, XX,  34, NEQ,   85,   95,   70,   45, 1007,  170,  20,   0,   0,   S,   0,   X, 205,  10,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120912,   , BEST,   0, 207S, 0760E,  45,  998, XX,  34, NEQ,   85,   95,   70,   45, 1008,  170,  20,   0,   0,   S,   0,   X, 200,   7,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020120918,   , BEST,   0, 207S, 0759E,  40, 1000, XX,  34, NEQ,   85,   90,   70,   45, 1008,  130,  20,   0,   0,   S,   0,   X, 210,   4,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020121000,   , BEST,   0, 209S, 0758E,  40,  999, XX,  34, NEQ,   65,   85,   75,   55, 1007,  140,  20,   0,   0,   S,   0,   X, 220,   3,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020121006,   , BEST,   0, 213S, 0760E,  40,  999, XX,  34, NEQ,   55,   65,   75,   55, 1007,  140,  35,   0,   0,   S,   0,   X, 185,   3,    BONGOYO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020121006,   , BEST,   0, 212S, 0758E,  40,  999, XX,  34, NEQ,   65,   85,   75,   55, 1007,  140,  25,   0,   0,   S,   0,   X, 200,   3,    BONGOYO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
SH, 02, 2020121012,   , BEST,   0, 214S, 0753E,  35, 1002, XX,  34, NEQ,   55,   65,   75,   55, 1007,  140,  40,   0,   0,   S,   0,   X, 225,   4,    BONGOYO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022021, JTWC, NCEP_TCVITALS, 
