SH, 22, 2020031306,   , BEST,   0, 143S, 0524E,  35, 1004, XX,  34, NEQ,   45,   25,   25,   50, 1008,  175,  25,   0,   0,   S,   0,   X, 270,   5,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031312,   , BEST,   0, 147S, 0522E,  35, 1000, XX,  34, NEQ,   60,   25,   25,   65, 1008,  175,  25,   0,   0,   S,   0,   X, 245,   4,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031318,   , BEST,   0, 147S, 0520E,  45,  999, XX,  34, NEQ,   70,   55,    0,   75, 1010,  175,  25,   0,   0,   S,   0,   X, 230,   3,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031400,   , BEST,   0, 151S, 0511E,  55,  992, XX,  34, NEQ,   75,   60,   60,   75, 1007,  165,  25,   0,   0,   S,   0,   X, 235,   5,     HEROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031406,   , BEST,   0, 151S, 0509E,  60,  992, XX,  34, NEQ,   80,   70,   70,   75, 1010,  175,  25,   0,   0,   S,   0,   X, 245,   5,     HEROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031412,   , BEST,   0, 149S, 0509E,  60,  988, XX,  34, NEQ,   70,   60,   60,   70, 1007,  185,  25,   0,   0,   S,   0,   X, 270,   2,     HEROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031418,   , BEST,   0, 150S, 0511E,  65,  984, XX,  34, NEQ,   70,   65,   70,   75, 1008,  155,  20,   0,   0,   S,   0,   X,    ,    ,     HEROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031500,   , BEST,   0, 151S, 0514E,  70,  980, XX,  34, NEQ,   75,   65,   70,   60, 1006,  150,  15,   0,   0,   S,   0,   X,  90,   2,     HEROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031506,   , BEST,   0, 150S, 0518E,  70,  983, XX,  34, NEQ,   75,   65,   70,   75, 1008,  170,  15,   0,   0,   S,   0,   X,  90,   3,     HEROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031512,   , BEST,   0, 152S, 0521E,  70,  979, XX,  34, NEQ,   80,   65,   75,   75, 1005,  175,  20,   0,   0,   S,   0,   X, 110,   3,     HEROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
SH, 22, 2020031518,   , BEST,   0, 153S, 0527E,  80,  976, XX,  34, NEQ,   75,   60,   65,   70, 1007,  175,  15,   0,   0,   S,   0,   X, 100,   5,     HEROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222020, JTWC, NCEP_TCVITALS, 
