SH, 22, 2021022600,   , BEST,   0, 140S, 1008E,  35,  996, XX,  34, NEQ,   20,   70,   70,   20, 1006,  350,  70,   0,   0,   S,   0,   X, 260,  16,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022606,   , BEST,   0, 145S, 0985E,  50,  993, XX,  34, NEQ,   90,  160,  125,   60, 1004,  330,  60,   0,   0,   S,   0,   X, 260,  19,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022612,   , BEST,   0, 148S, 0970E,  60,  987, XX,  34, NEQ,  105,  170,  155,   75, 1004,  335,  40,   0,   0,   S,   0,   X, 260,  19,     MARIAN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022618,   , BEST,   0, 145S, 0957E,  60,  985, XX,  34, NEQ,  115,  125,  120,  120, 1003,  230,  30,   0,   0,   S,   0,   X, 265,  15,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022700,   , BEST,   0, 150S, 0947E,  65,  982, XX,  34, NEQ,  115,  125,  120,  120, 1003,  230,  25,   0,   0,   S,   0,   X, 260,  12,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022706,   , BEST,   0, 154S, 0940E,  65,  980, XX,  34, NEQ,  155,  160,  160,  165, 1003,  240,  20,   0,   0,   S,   0,   X, 255,  10,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022712,   , BEST,   0, 162S, 0933E,  65,  979, XX,  34, NEQ,  160,  160,  160,  165, 1002,  235,  20,   0,   0,   S,   0,   X, 240,  10,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022718,   , BEST,   0, 166S, 0924E,  75,  972, XX,  34, NEQ,  160,  160,  160,  160, 1002,  235,  15,   0,   0,   S,   0,   X, 235,  10,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022800,   , BEST,   0, 169S, 0920E,  80,  969, XX,  34, NEQ,  160,  150,  150,  160, 1002,  235,  15,   0,   0,   S,   0,   X, 230,   9,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022806,   , BEST,   0, 173S, 0913E,  85,  966, XX,  34, NEQ,  160,  150,  150,  160, 1003,  235,  15,   0,   0,   S,   0,   X, 235,   8,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
SH, 22, 2021022812,   , BEST,   0, 174S, 0913E, 100,  952, XX,  34, NEQ,  160,  150,  150,  160, 1002,  225,  20,   0,   0,   S,   0,   X, 230,   6,     MARIAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222021, JTWC, NCEP_TCVITALS, 
