SH, 23, 2021030106,   , BEST,   0, 167S, 1468E,  35,  994, XX,  34, NEQ,   55,   65,   80,   85, 1000,  160,  40,   0,   0,   P,   0,   X, 285,   5,  TWENTY-TH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030112,   , BEST,   0, 161S, 1469E,  40,  994, XX,  34, NEQ,   65,   50,   80,   80, 1002,  160,  35,   0,   0,   P,   0,   X, 325,   5,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030118,   , BEST,   0, 153S, 1474E,  45,  984, XX,  34, NEQ,   65,   55,   80,   80, 1002,  250,  20,   0,   0,   P,   0,   X,   5,   6,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030200,   , BEST,   0, 148S, 1478E,  45,  993, XX,  34, NEQ,   50,   80,   80,   65, 1003,  250,  35,   0,   0,   P,   0,   X,  25,   7,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030206,   , BEST,   0, 148S, 1480E,  50,  990, XX,  34, NEQ,   50,   30,   60,  100, 1003,  250,  25,   0,   0,   P,   0,   X,  40,   6,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030212,   , BEST,   0, 148S, 1482E,  55,  986, XX,  34, NEQ,  110,  145,  140,   80, 1004,  150,  30,   0,   0,   P,   0,   X,  50,   4,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030218,   , BEST,   0, 149S, 1486E,  55,  984, XX,  34, NEQ,   85,  120,  105,   85, 1001,  195,  30,   0,   0,   P,   0,   X,  85,   3,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030306,   , BEST,   0, 148S, 1479E,  70,  970, XX,  34, NEQ,  110,  100,  130,  115, 1004,  240,  20,   0,   0,   P,   0,   X, 270,   1,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030312,   , BEST,   0, 148S, 1483E,  70,  970, XX,  34, NEQ,   70,   45,   40,  120, 1005,  235,  20,   0,   0,   P,   0,   X,  45,    ,      NIRAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030318,   , BEST,   0, 152S, 1483E,  75,  970, XX,  34, NEQ,  140,   75,   75,  115, 1001,  220,  12,   0,   0,   P,   0,   X, 135,   1,      NIRAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
SH, 23, 2021030400,   , BEST,   0, 152S, 1487E,  85,  962, XX,  34, NEQ,  200,  105,  125,  165, 1001,  220,  15,   0,   0,   P,   0,   X, 115,   3,      NIRAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232021, JTWC, NCEP_TCVITALS, 
