SH, 24, 2021030412,   , BEST,   0, 164S, 0725E,  35, 1001, XX,  34, NEQ,   85,  100,   45,   55, 1005,  175,  40,   0,   0,   S,   0,   X, 100,  15,     HABANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030418,   , BEST,   0, 167S, 0734E,  45,  997, XX,  34, NEQ,   50,   45,   50,   45, 1005,  175,  40,   0,   0,   S,   0,   X, 105,  13,     HABANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030500,   , BEST,   0, 166S, 0744E,  50,  993, XX,  34, NEQ,   75,   80,   75,   60, 1005,  175,  20,   0,   0,   S,   0,   X, 100,  10,     HABANA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030506,   , BEST,   0, 164S, 0755E,  90,  972, XX,  34, NEQ,   75,   65,   60,   50, 1009,  175,   5,   0,   0,   S,   0,   X,  90,  10,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030512,   , BEST,   0, 163S, 0763E, 115,  948, XX,  34, NEQ,   80,   75,   65,   60, 1007,  180,   5,   0,   0,   S,   0,   X,  80,   9,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030518,   , BEST,   0, 161S, 0771E, 120,  945, XX,  34, NEQ,   80,   75,   65,   60, 1009,  170,   5,   0,   0,   S,   0,   X,  80,   8,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030600,   , BEST,   0, 160S, 0776E, 120,  941, XX,  34, NEQ,   80,   70,   90,   60, 1006,  180,   6,   0,   0,   S,   0,   X,  80,   7,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030606,   , BEST,   0, 162S, 0780E, 125,  935, XX,  34, NEQ,   65,   50,   60,   50, 1006,  170,   5,   0,   0,   S,   0,   X,  85,   5,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030612,   , BEST,   0, 161S, 0781E, 120,  941, XX,  34, NEQ,   65,   50,   50,   60, 1006,  170,   5,   0,   0,   S,   0,   X,  90,   3,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030618,   , BEST,   0, 166S, 0789E, 120,  942, XX,  34, NEQ,  125,  110,  115,  130, 1009,  200,   5,   0,   0,   S,   0,   X, 115,   5,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030700,   , BEST,   0, 168S, 0793E, 115,  945, XX,  34, NEQ,  135,  120,   65,  100, 1007,  200,  12,   0,   0,   S,   0,   X, 120,   5,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030706,   , BEST,   0, 169S, 0791E, 115,  945, XX,  34, NEQ,  135,  120,   75,  105, 1007,  200,   5,   0,   0,   S,   0,   X, 130,   4,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030712,   , BEST,   0, 171S, 0801E, 105,  955, XX,  34, NEQ,  105,  100,   80,   85, 1007,  170,   5,   0,   0,   S,   0,   X, 120,   6,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030718,   , BEST,   0, 174S, 0804E, 100,  960, XX,  34, NEQ,   85,   80,   70,   70, 1007,  185,  20,   0,   0,   S,   0,   X, 120,   5,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
SH, 24, 2021030800,   , BEST,   0, 179S, 0809E, 100,  960, XX,  34, NEQ,   85,   80,   70,   70, 1007,  190,   5,   0,   0,   S,   0,   X, 130,   6,     HABANA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242021, JTWC, NCEP_TCVITALS, 
