SH, 25, 2020040218,   , BEST,   0, 099S, 1595E,  35, 1000, XX,  34, NEQ,   65,    0,   40,   60, 1004,  190,  35,   0,   0,   P,   0,   X, 100,  11,     HAROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040300,   , BEST,   0, 104S, 1616E,  40, 1000, XX,  34, NEQ,   80,   75,   35,   50, 1005,  200,  25,   0,   0,   P,   0,   X, 105,  15,     HAROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040306,   , BEST,   0, 114S, 1626E,  40,  999, XX,  34, NEQ,  110,   80,   30,   85, 1005,  200,  25,   0,   0,   P,   0,   X, 110,  16,     HAROLD, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040312,   , BEST,   0, 127S, 1630E,  55,  990, XX,  34, NEQ,  105,   70,   55,   95, 1004,  200,  20,   0,   0,   P,   0,   X, 130,  15,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040318,   , BEST,   0, 135S, 1638E,  60,  985, XX,  34, NEQ,  100,   85,   50,   80, 1002,  205,  25,   0,   0,   P,   0,   X, 140,  13,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040400,   , BEST,   0, 139S, 1640E,  90,  966, XX,  34, NEQ,  120,  100,   70,  100, 1004,  190,   6,   0,   0,   P,   0,   X, 145,  10,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040406,   , BEST,   0, 143S, 1648E, 110,  946, XX,  34, NEQ,  120,   90,   70,   80, 1002,  175,   5,   0,   0,   P,   0,   X, 135,   8,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040412,   , BEST,   0, 146S, 1651E, 115,  941, XX,  34, NEQ,   85,  115,  110,   75, 1002,  175,   5,   0,   0,   P,   0,   X, 130,   6,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040418,   , BEST,   0, 149S, 1655E, 115,  940, XX,  34, NEQ,   90,  120,  110,   80, 1002,  170,   5,   0,   0,   P,   0,   X, 130,   5,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040500,   , BEST,   0, 154S, 1659E, 105,  950, XX,  34, NEQ,   85,  110,   95,   70, 1004,  170,   5,   0,   0,   P,   0,   X, 135,   5,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040506,   , BEST,   0, 157S, 1655E, 100,  954, XX,  34, NEQ,  190,  140,  100,   85, 1004,  170,   5,   0,   0,   P,   0,   X, 160,   4,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040512,   , BEST,   0, 156S, 1656E, 120,  936, XX,  34, NEQ,   85,   75,   85,   95, 1004,  170,   5,   0,   0,   P,   0,   X, 170,   2,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040518,   , BEST,   0, 153S, 1661E, 125,  930, XX,  34, NEQ,   65,  105,   75,   65, 1003,  165,   5,   0,   0,   P,   0,   X,  80,   2,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040600,   , BEST,   0, 155S, 1667E, 115,  940, XX,  34, NEQ,   90,  130,   95,   85, 1003,  170,  12,   0,   0,   P,   0,   X,  85,   4,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
SH, 25, 2020040606,   , BEST,   0, 158S, 1678E, 135,  920, XX,  34, NEQ,  125,  120,  125,  100, 1002,  180,  12,   0,   0,   P,   0,   X,  95,   7,     HAROLD, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252020, JTWC, NCEP_TCVITALS, 
