SH, 27, 2021040418,   , BEST,   0, 149S, 1048E,  35, 1000, XX,  34, NEQ,    0,   45,   40,    0, 1007,  180,  45,   0,   0,   S,   0,   X, 180,   7,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040500,   , BEST,   0, 153S, 1049E,  35,  998, XX,  34, NEQ,   50,   75,   40,    0, 1007,  190,  50,   0,   0,   S,   0,   X, 185,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040506,   , BEST,   0, 156S, 1049E,  45,  997, XX,  34, NEQ,   70,  105,   75,   45, 1007,  190,  50,   0,   0,   S,   0,   X, 180,   5,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040512,   , BEST,   0, 160S, 1053E,  45,  998, XX,  34, NEQ,   70,  100,   80,   45, 1008,  225,  60,   0,   0,   S,   0,   X, 160,   5,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040518,   , BEST,   0, 162S, 1055E,  40,  999, XX,  34, NEQ,   85,  105,   95,   60, 1008,  225,  45,   0,   0,   S,   0,   X, 150,   4,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040600,   , BEST,   0, 163S, 1054E,  40,  999, XX,  34, NEQ,   85,  105,   95,   60, 1008,  225,  45,   0,   0,   S,   0,   X, 145,   3,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040606,   , BEST,   0, 162S, 1058E,  40,  997, XX,  34, NEQ,   85,  105,   95,   80, 1006,  230,  45,   0,   0,   S,   0,   X, 110,   2,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040618,   , BEST,   0, 165S, 1062E,  35,  999, XX,  34, NEQ,   85,  110,   95,   85, 1006,  230,  45,   0,   0,   S,   0,   X, 110,   2,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040700,   , BEST,   0, 164S, 1057E,  40,  996, XX,  34, NEQ,   65,  115,  105,   70, 1006,  230,  45,   0,   0,   S,   0,   X, 200,   1,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040706,   , BEST,   0, 160S, 1057E,  40,  995, XX,  34, NEQ,   80,  130,   90,   70, 1005,  205,  35,   0,   0,   S,   0,   X, 305,   1,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040712,   , BEST,   0, 162S, 1062E,  40,  996, XX,  34, NEQ,   70,   90,   70,   50, 1005,  200,  35,   0,   0,   S,   0,   X,  55,   1,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
SH, 27, 2021040718,   , BEST,   0, 162S, 1060E,  40,  994, XX,  34, NEQ,    0,    0,  110,    0, 1005,  200,  35,   0,   0,   S,   0,   X,  55,   1,  TWENTY-SE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272021, JTWC, NCEP_TCVITALS, 
