SH, 03, 2019120500,   , BEST,   0, 078S, 0636E,  35, 1006, XX,  34, NEQ,   30,   30,    0,    0, 1010,  165,  30,   0,   0,   S,   0,   X, 210,   8,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120506,   , BEST,   0, 086S, 0632E,  50,  997, XX,  34, NEQ,   40,   55,   40,   30, 1008,  165,  20,   0,   0,   S,   0,   X, 215,   8,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120512,   , BEST,   0, 092S, 0627E,  70,  986, XX,  34, NEQ,   45,   55,   40,   40, 1009,  150,  10,   0,   0,   S,   0,   X, 215,   8,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120518,   , BEST,   0, 099S, 0624E, 100,  964, XX,  34, NEQ,   65,   70,   55,   45, 1010,  140,   5,   0,   0,   S,   0,   X, 210,   8,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120600,   , BEST,   0, 105S, 0622E, 135,  929, XX,  34, NEQ,   80,   85,   60,   55, 1009,  140,   6,   0,   0,   S,   0,   X, 205,   7,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120606,   , BEST,   0, 110S, 0622E, 120,  944, XX,  34, NEQ,   75,   65,   60,   55, 1009,  140,   5,   0,   0,   S,   0,   X, 200,   6,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120612,   , BEST,   0, 116S, 0622E,  90,  971, XX,  34, NEQ,   70,   70,   55,   45, 1009,  150,   5,   0,   0,   S,   0,   X, 185,   6,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120618,   , BEST,   0, 115S, 0625E,  85,  975, XX,  34, NEQ,   70,   70,   55,   50, 1011,  150,   5,   0,   0,   S,   0,   X, 165,   3,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120700,   , BEST,   0, 120S, 0625E,  75,  983, XX,  34, NEQ,   50,   55,   45,   35, 1011,  140,   5,   0,   0,   S,   0,   X, 165,   4,     AMBALI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120706,   , BEST,   0, 124S, 0631E,  60,  992, XX,  34, NEQ,   25,   20,   20,   30, 1010,  160,  10,   0,   0,   S,   0,   X, 140,   4,     AMBALI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120712,   , BEST,   0, 132S, 0630E,  50,  995, XX,  34, NEQ,   30,   25,   25,   35, 1007,  105,  10,   0,   0,   S,   0,   X, 165,   6,     AMBALI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120718,   , BEST,   0, 139S, 0633E,  50,  998, XX,  34, NEQ,   55,   60,   55,   40, 1010,  140,  10,   0,   0,   S,   0,   X, 170,   6,     AMBALI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120800,   , BEST,   0, 149S, 0622E,  35, 1006, XX,  34, NEQ,   55,   60,   40,   65, 1010,  140,  10,   0,   0,   S,   0,   X, 200,   9,     AMBALI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
SH, 03, 2019120806,   , BEST,   0, 152S, 0617E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  145,  10,   0,   0,   S,   0,   X, 210,   8,     AMBALI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032020, JTWC, NCEP_TCVITALS, 
