SH, 03, 2020120818,   , BEST,   0, 110S, 1085E,  45,  992, XX,  34, NEQ,   45,    0,   65,   75, 1003,  130,  25,   0,   0,   S,   0,   X,  65,   2,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020120900,   , BEST,   0, 111S, 1090E,  45,  994, XX,  34, NEQ,   45,    0,   70,   70, 1004,  125,  25,   0,   0,   S,   0,   X,  85,   4,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020120906,   , BEST,   0, 116S, 1099E,  45,  993, XX,  34, NEQ,   85,   40,   70,  105, 1003,  150,  25,   0,   0,   S,   0,   X, 105,   6,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020120912,   , BEST,   0, 124S, 1106E,  35,  998, XX,  34, NEQ,   60,   60,   80,   85, 1003,  125,  25,   0,   0,   S,   0,   X, 125,   8,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020120918,   , BEST,   0, 133S, 1109E,  35,  998, XX,  34, NEQ,   60,   40,   70,   70, 1002,  150,  25,   0,   0,   S,   0,   X, 140,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121000,   , BEST,   0, 140S, 1113E,  35, 1000, XX,  34, NEQ,   45,   40,   60,   65, 1004,  180,  25,   0,   0,   S,   0,   X, 150,   9,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121006,   , BEST,   0, 148S, 1123E,  35, 1001, XX,  34, NEQ,   45,   30,   70,   30, 1004,  180,  25,   0,   0,   S,   0,   X, 145,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121006,   , BEST,   0, 148S, 1123E,  35, 1000, XX,  34, NEQ,   45,   40,   65,   65, 1004,  180,  25,   0,   0,   S,   0,   X, 145,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121012,   , BEST,   0, 157S, 1133E,  35, 1001, XX,  34, NEQ,   45,   30,   70,   30, 1004,  180,  25,   0,   0,   S,   0,   X, 135,  11,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121018,   , BEST,   0, 169S, 1144E,  35, 1000, XX,  34, NEQ,   50,   35,   70,   30, 1003,  180,  25,   0,   0,   S,   0,   X, 135,  14,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121100,   , BEST,   0, 197S, 1171E,  40,  999, XX,  34, NEQ,   50,   40,   70,   30, 1003,  180,  25,   0,   0,   S,   0,   X, 140,  22,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
SH, 03, 2020121106,   , BEST,   0, 211S, 1190E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  180,  30,   0,   0,   S,   0,   X, 135,  24,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH032021, JTWC, NCEP_TCVITALS, 
