SH, 05, 2019122912,   , BEST,   0, 194S, 0598E,  35,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019122918,   , BEST,   0, 201S, 0592E,  35,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123000,   , BEST,   0, 206S, 0588E,  35,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123006,   , BEST,   0, 205S, 0584E,  40,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123012,   , BEST,   0, 207S, 0582E,  50,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123018,   , BEST,   0, 208S, 0582E,  50,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123100,   , BEST,   0, 211S, 0580E,  60,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123106,   , BEST,   0, 216S, 0584E,  70,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123112,   , BEST,   0, 225S, 0584E,  70,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS,
SH, 05, 2019123118,   , BEST,   0, 238S, 0593E,  70,  976, XX,  34, NEQ,  120,  125,   95,   80, 1004,  190,  12,   0,   0,   S,   0,   X, 155,  10,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010100,   , BEST,   0, 252S, 0601E,  70,  973, XX,  34, NEQ,  125,  130,  100,   90, 1002,  195,  12,   0,   0,   S,   0,   X, 155,  13,   CALVINIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010106,   , BEST,   0, 268S, 0605E,  60,  976, XX,  34, NEQ,  120,  130,  100,   85, 1002,  200,  12,   0,   0,   S,   0,   X, 160,  15,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010112,   , BEST,   0, 291S, 0611E,  55,  980, XX,  34, NEQ,  145,  130,  110,  100, 1002,  200,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010118,   , BEST,   0, 305S, 0618E,  55,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010200,   , BEST,   0, 322S, 0622E,  55,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010206,   , BEST,   0, 343S, 0639E,  50,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010212,   , BEST,   0, 360S, 0647E,  45,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010218,   , BEST,   0, 369S, 0680E,  45,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010300,   , BEST,   0, 387S, 0707E,  35,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010306,   , BEST,   0, 403S, 0738E,  35,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
SH, 05, 2020010312,   , BEST,   0, 408S, 0773E,  35,  980, XX,  34, NEQ,  200,  215,  140,  110, 1004,  230,  40,   0,   0,   S,   0,   X, 165,  18,   CALVINIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052020, JTWC, NCEP_TCVITALS, 
