SH, 05, 2020121212,   , BEST,   0, 137S, 1729E,  35, 1000, XX,  34, NEQ,   95,   35,   50,  110, 1005,  190,  70,   0,   0,   P,   0,   X, 110,  10,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121218,   , BEST,   0, 143S, 1730E,  35,  998, XX,  34, NEQ,  100,   75,   60,  110, 1003,  175,  70,   0,   0,   P,   0,   X, 145,  10,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121300,   , BEST,   0, 151S, 1733E,  40,  998, XX,  34, NEQ,  110,   65,    0,   90, 1005,  230,  50,   0,   0,   P,   0,   X, 165,  10,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121306,   , BEST,   0, 153S, 1727E,  45,  993, XX,  34, NEQ,  110,   65,   45,   90, 1003,  150,  50,   0,   0,   P,   0,   X, 195,   7,       FIVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121312,   , BEST,   0, 156S, 1723E,  45,  995, XX,  34, NEQ,  110,   80,   45,   40, 1005,  155,  25,   0,   0,   P,   0,   X, 225,   6,       FIVE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121318,   , BEST,   0, 157S, 1723E,  55,  990, XX,  34, NEQ,  105,   80,  100,   70, 1006,  175,  30,   0,   0,   P,   0,   X, 240,   4,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121400,   , BEST,   0, 158S, 1719E,  60,  987, XX,  34, NEQ,  105,   95,   75,   50, 1006,  185,  30,   0,   0,   P,   0,   X, 245,   3,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121406,   , BEST,   0, 158S, 1717E,  65,  981, XX,  34, NEQ,  105,   90,   75,   75, 1004,  190,  20,   0,   0,   P,   0,   X, 255,   3,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121412,   , BEST,   0, 156S, 1716E,  65,  983, XX,  34, NEQ,  105,   90,   75,   75, 1006,  200,  20,   0,   0,   P,   0,   X, 280,   2,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121418,   , BEST,   0, 154S, 1721E,  70,  978, XX,  34, NEQ,  135,  115,  110,  115, 1006,  200,  20,   0,   0,   P,   0,   X,  25,   1,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121500,   , BEST,   0, 150S, 1724E,  85,  968, XX,  34, NEQ,  130,  115,  100,  110, 1006,  200,  12,   0,   0,   P,   0,   X,  40,   3,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121506,   , BEST,   0, 149S, 1730E, 105,  949, XX,  34, NEQ,  135,  110,  115,  110, 1003,  200,  12,   0,   0,   P,   0,   X,  60,   4,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121512,   , BEST,   0, 148S, 1732E, 110,  946, XX,  34, NEQ,  110,  105,  105,  105, 1005,  215,  12,   0,   0,   P,   0,   X,  70,   3,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121518,   , BEST,   0, 147S, 1735E, 135,  919, XX,  34, NEQ,  110,  105,  105,  105, 1003,  215,  15,   0,   0,   P,   0,   X,  75,   3,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
