SH, 06, 2020010518,   , BEST,   0, 160S, 1213E,  35,  996, XX,  34, NEQ,    0,  105,  105,   65, 1003,  220,  60,   0,   0,   S,   0,   X, 175,   4,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010600,   , BEST,   0, 159S, 1219E,  35,  998, XX,  34, NEQ,   90,  125,  120,   60, 1005,  250,  60,   0,   0,   S,   0,   X, 140,   3,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010606,   , BEST,   0, 165S, 1222E,  50,  991, XX,  34, NEQ,  100,  105,  110,   80, 1005,  235,  30,   0,   0,   S,   0,   X, 140,   5,      BLAKE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010612,   , BEST,   0, 174S, 1220E,  50,  991, XX,  34, NEQ,  130,  105,  100,   85, 1005,  235,  20,   0,   0,   S,   0,   X, 170,   6,      BLAKE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010618,   , BEST,   0, 179S, 1218E,  50,  989, XX,  34, NEQ,  130,  105,  100,   85, 1003,  240,  20,   0,   0,   S,   0,   X, 190,   6,      BLAKE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010700,   , BEST,   0, 185S, 1216E,  40,  996, XX,  34, NEQ,   90,   35,   75,   75, 1003,  240,  20,   0,   0,   S,   0,   X, 200,   6,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010706,   , BEST,   0, 187S, 1212E,  35,  994, XX,  34, NEQ,   30,   30,   75,   75, 1001,  225,  20,   0,   0,   S,   0,   X, 210,   5,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010712,   , BEST,   0, 195S, 1210E,  35,  995, XX,  34, NEQ,    0,   25,   35,   15, 1001,  180,  20,   0,   0,   S,   0,   X, 205,   6,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010718,   , BEST,   0, 198S, 1206E,  35,  991, XX,  34, NEQ,    0,    0,    0,   35, 1001,  180,  20,   0,   0,   S,   0,   X, 215,   6,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010800,   , BEST,   0, 207S, 1197E,  35,  994, XX,  34, NEQ,    0,    0,    0,    0, 1001,  180,  20,   0,   0,   S,   0,   X, 215,   8,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010806,   , BEST,   0, 210S, 1196E,  35,  994, XX,  34, NEQ,    0,   65,   35,    0,  998,  180,  20,   0,   0,   S,   0,   X, 220,   7,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
SH, 06, 2020010812,   , BEST,   0, 214S, 1197E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1000,  190,  20,   0,   0,   S,   0,   X, 205,   6,      BLAKE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062020, JTWC, NCEP_TCVITALS, 
