SH, 06, 2020121312,   , BEST,   0, 170S, 1734W,  35, 1003, XX,  34, NEQ,   90,  135,   30,    0, 1008,  190,  80,   0,   0,   P,   0,   X, 245,   9,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121318,   , BEST,   0, 176S, 1736W,  35, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1008,  185,  60,   0,   0,   P,   0,   X, 235,   8,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121400,   , BEST,   0, 179S, 1741W,  40, 1000, XX,  34, NEQ,  145,  115,   65,   45, 1008,  185,  45,   0,   0,   P,   0,   X, 225,   6,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121406,   , BEST,   0, 183S, 1743W,  45,  995, XX,  34, NEQ,  145,  115,   65,   45, 1006,  185,  45,   0,   0,   P,   0,   X, 215,   5,       ZAZU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121412,   , BEST,   0, 188S, 1745W,  45,  995, XX,  34, NEQ,  145,  115,   65,   45, 1006,  200,  45,   0,   0,   P,   0,   X, 205,   5,       ZAZU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121418,   , BEST,   0, 189S, 1742W,  45,  992, XX,  34, NEQ,  150,   95,   60,  175, 1005,  185,  45,   0,   0,   P,   0,   X, 185,   3,       ZAZU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121500,   , BEST,   0, 188S, 1740W,  50,  990, XX,  34, NEQ,  135,   95,   90,   85, 1005,  185,  45,   0,   0,   P,   0,   X, 155,   2,       ZAZU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121506,   , BEST,   0, 190S, 1736W,  45,  992, XX,  34, NEQ,  170,  120,   75,   70, 1004,  190,  45,   0,   0,   P,   0,   X, 125,   3,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121512,   , BEST,   0, 196S, 1724W,  50,  990, XX,  34, NEQ,  180,   95,  110,  105, 1004,  190,  30,   0,   0,   P,   0,   X, 115,   7,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121518,   , BEST,   0, 198S, 1713W,  55,  985, XX,  34, NEQ,  195,  125,  125,  165, 1003,  180,  25,   0,   0,   P,   0,   X, 110,   9,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121600,   , BEST,   0, 208S, 1703W,  55,  985, XX,  34, NEQ,  175,  175,  130,  135, 1003,  180,  25,   0,   0,   P,   0,   X, 125,  11,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121606,   , BEST,   0, 218S, 1688W,  55,  985, XX,  34, NEQ,  175,  175,  130,  135, 1004,  185,  25,   0,   0,   P,   0,   X, 125,  13,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121612,   , BEST,   0, 236S, 1670W,  55,  985, XX,  34, NEQ,  190,  165,  155,  110, 1004,  185,  25,   0,   0,   P,   0,   X, 130,  17,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
SH, 06, 2020121618,   , BEST,   0, 259S, 1652W,  50,  989, XX,  34, NEQ,  160,  130,   70,  105, 1004,  190,  30,   0,   0,   P,   0,   X, 140,  22,       ZAZU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062021, JTWC, NCEP_TCVITALS, 
