SH, 07, 2020011112,   , BEST,   0, 132S, 1262E,  35, 1000, XX,  34, NEQ,   50,   40,   60,   45, 1004,  180,  30,   0,   0,   S,   0,   X, 260,  10,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011118,   , BEST,   0, 135S, 1250E,  45,  994, XX,  34, NEQ,   50,   50,   60,   50, 1002,  170,  30,   0,   0,   S,   0,   X, 260,  10,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011200,   , BEST,   0, 140S, 1233E,  50,  994, XX,  34, NEQ,   35,   60,   50,   45, 1004,  180,  15,   0,   0,   S,   0,   X, 255,  13,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011206,   , BEST,   0, 144S, 1224E,  50,  990, XX,  34, NEQ,   55,  110,  115,   70, 1002,  180,  15,   0,   0,   S,   0,   X, 250,  13,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011212,   , BEST,   0, 150S, 1207E,  60,  986, XX,  34, NEQ,   60,   85,   75,   55, 1002,  170,  15,   0,   0,   S,   0,   X, 250,  15,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011218,   , BEST,   0, 157S, 1187E,  70,  978, XX,  34, NEQ,   65,  120,   85,   60, 1000,  170,  15,   0,   0,   S,   0,   X, 245,  16,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011300,   , BEST,   0, 162S, 1172E,  75,  977, XX,  34, NEQ,   65,  120,   85,   65, 1002,  175,  15,   0,   0,   S,   0,   X, 250,  17,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011306,   , BEST,   0, 169S, 1155E,  80,  972, XX,  34, NEQ,   90,  110,  110,  100, 1001,  180,  15,   0,   0,   S,   0,   X, 250,  18,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011312,   , BEST,   0, 176S, 1137E,  80,  975, XX,  34, NEQ,  105,  105,  100,  105, 1004,  205,  15,   0,   0,   S,   0,   X, 250,  17,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011318,   , BEST,   0, 175S, 1123E,  85,  971, XX,  34, NEQ,  100,  125,  110,   90, 1004,  205,  15,   0,   0,   S,   0,   X, 255,  16,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011400,   , BEST,   0, 177S, 1107E,  80,  974, XX,  34, NEQ,  100,  125,  110,   90, 1004,  205,  15,   0,   0,   S,   0,   X, 260,  16,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011406,   , BEST,   0, 181S, 1097E,  75,  977, XX,  34, NEQ,  110,  115,   90,   90, 1004,  185,  30,   0,   0,   S,   0,   X, 260,  13,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011412,   , BEST,   0, 185S, 1091E,  70,  980, XX,  34, NEQ,   90,  110,  100,   90, 1004,  180,  25,   0,   0,   S,   0,   X, 255,  11,    CLAUDIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011418,   , BEST,   0, 188S, 1083E,  45,  995, XX,  34, NEQ,   60,   80,   85,   50, 1004,  180,  50,   0,   0,   S,   0,   X, 245,   8,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011500,   , BEST,   0, 195S, 1074E,  45,  996, XX,  34, NEQ,   55,   75,   75,   45, 1005,  165,  50,   0,   0,   S,   0,   X, 240,  10,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011506,   , BEST,   0, 202S, 1064E,  45,  997, XX,  34, NEQ,   60,   80,   40,   50, 1005,  175,  45,   0,   0,   S,   0,   X, 235,  11,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011512,   , BEST,   0, 208S, 1057E,  40,  999, XX,  34, NEQ,   50,   70,   60,   55, 1005,  160,  45,   0,   0,   S,   0,   X, 230,  11,    CLAUDIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011518,   , BEST,   0, 214S, 1048E,  35, 1001, XX,  34, NEQ,   75,   90,   85,   70, 1006,  160,  45,   0,   0,   S,   0,   X, 230,  10,    CLAUDIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
SH, 07, 2020011600,   , BEST,   0, 217S, 1038E,  35, 1002, XX,  34, NEQ,    0,   70,    0,    0, 1006,  160,  45,   0,   0,   S,   0,   X, 235,  10,    CLAUDIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072020, JTWC, NCEP_TCVITALS, 
