SH, 07, 2020122500,   , BEST,   0, 158S, 0565E,  35, 1001, XX,  34, NEQ,   90,   60,   10,   10, 1006,  175,  45,   0,   0,   S,   0,   X, 260,   9,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122506,   , BEST,   0, 159S, 0556E,  35, 1003, XX,  34, NEQ,   90,   60,   15,   15, 1007,  185,  45,   0,   0,   S,   0,   X, 260,   9,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122512,   , BEST,   0, 159S, 0548E,  35, 1001, XX,  34, NEQ,   90,   60,   20,   20, 1005,  200,  45,   0,   0,   S,   0,   X, 270,   8,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122518,   , BEST,   0, 163S, 0536E,  35, 1000, XX,  34, NEQ,   20,   85,   85,   20, 1008,  180,  45,   0,   0,   S,   0,   X, 260,   9,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122600,   , BEST,   0, 160S, 0531E,  35, 1000, XX,  34, NEQ,   20,   85,   85,   20, 1008,  180,  45,   0,   0,   S,   0,   X, 265,   8,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122606,   , BEST,   0, 161S, 0524E,  35, 1000, XX,  34, NEQ,   30,   65,   70,   25, 1007,  120,  65,   0,   0,   S,   0,   X, 265,   8,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122612,   , BEST,   0, 166S, 0509E,  35, 1000, XX,  34, NEQ,   30,   55,   65,   15, 1007,  120,  50,   0,   0,   S,   0,   X, 260,  10,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122618,   , BEST,   0, 174S, 0497E,  35, 1006, XX,  34, NEQ,   30,   50,   75,   25, 1009,  135,  45,   0,   0,   S,   0,   X, 245,  12,    CHALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122700,   , BEST,   0, 179S, 0487E,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  135,  30,   0,   0,   S,   0,   X, 245,  13,    CHALANE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122706,   , BEST,   0, 181S, 0476E,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  155,  30,   0,   0,   S,   0,   X, 250,  12,    CHALANE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122712,   , BEST,   0, 184S, 0466E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   S,   0,   X, 255,  10,    CHALANE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
SH, 07, 2020122718,   , BEST,   0, 192S, 0456E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   S,   0,   X, 245,  11,    CHALANE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072021, JTWC, NCEP_TCVITALS, 
