SH, 08, 2020011618,   , BEST,   0, 137S, 1778E,  40,  983, XX,  34, NEQ,  290,  130,   90,  360,  995,  260,  50,   0,   0,   P,   0,   X, 125,  14,      EIGHT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011700,   , BEST,   0, 149S, 1788E,  45,  982, XX,  34, NEQ,  295,  110,   60,  320,  995,  260,  45,   0,   0,   P,   0,   X, 135,  15,       TINO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011706,   , BEST,   0, 153S, 1794E,  55,  974, XX,  34, NEQ,  350,  165,   95,  340,  994,  250,  15,   0,   0,   P,   0,   X, 135,  12,       TINO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011712,   , BEST,   0, 159S, 1791W,  65,  970, XX,  34, NEQ,  330,  170,  100,  385,  996,  240,  15,   0,   0,   P,   0,   X, 125,  12,       TINO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011718,   , BEST,   0, 179S, 1774W,  70,  966, XX,  34, NEQ,  345,  200,  100,  405,  994,  190,  15,   0,   0,   P,   0,   X, 130,  16,       TINO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011800,   , BEST,   0, 191S, 1763W,  70,  967, XX,  34, NEQ,  345,  225,   70,  325,  995,  215,  35,   0,   0,   P,   0,   X, 135,  18,       TINO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011806,   , BEST,   0, 201S, 1750W,  70,  968, XX,  34, NEQ,  100,  240,  105,  350,  995,  220,  35,   0,   0,   P,   0,   X, 140,  18,       TINO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011812,   , BEST,   0, 214S, 1731W,  65,  971, XX,  34, NEQ,  250,  200,  145,  200,  996,  220,  30,   0,   0,   P,   0,   X, 130,  18,       TINO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011818,   , BEST,   0, 230S, 1715W,  60,  968, XX,  34, NEQ,  275,  265,  175,  305,  994,  195,  30,   0,   0,   P,   0,   X, 130,  20,       TINO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011900,   , BEST,   0, 251S, 1696W,  55,  968, XX,  34, NEQ,  295,  275,  145,  295,  994,  215,  30,   0,   0,   P,   0,   X, 135,  23,       TINO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
SH, 08, 2020011906,   , BEST,   0, 277S, 1673W,  55,  964, XX,  34, NEQ,  325,  290,  195,  310,  992,  230,  30,   0,   0,   P,   0,   X, 140,  27,       TINO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082020, JTWC, NCEP_TCVITALS, 
