SH, 08, 2021010118,   , BEST,   0, 112S, 0721E,  40, 1000, XX,  34, NEQ,   20,   20,   50,   40, 1007,  170,  20,   0,   0,   S,   0,   X, 335,   4,     DANILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010200,   , BEST,   0, 108S, 0720E,  40, 1000, XX,  34, NEQ,   20,   20,   50,   40, 1007,  170,  20,   0,   0,   S,   0,   X, 350,   4,     DANILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010206,   , BEST,   0, 105S, 0722E,  45,  995, XX,  34, NEQ,   65,   50,   55,   70, 1005,  150,  20,   0,   0,   S,   0,   X,  10,   4,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010212,   , BEST,   0, 108S, 0725E,  45,  994, XX,  34, NEQ,   85,   65,   50,   80, 1005,  150,  20,   0,   0,   S,   0,   X,  55,   2,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010218,   , BEST,   0, 111S, 0724E,  45,  994, XX,  34, NEQ,   60,   45,   45,   75, 1005,  150,  20,   0,   0,   S,   0,   X, 115,   1,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010300,   , BEST,   0, 112S, 0726E,  50,  989, XX,  34, NEQ,   70,   50,   45,   75, 1002,  150,  15,   0,   0,   S,   0,   X, 125,   2,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010306,   , BEST,   0, 117S, 0735E,  55,  987, XX,  34, NEQ,  100,   45,   40,  100, 1003,  140,  15,   0,   0,   S,   0,   X, 120,   5,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010312,   , BEST,   0, 123S, 0742E,  55,  984, XX,  34, NEQ,  105,   45,   45,  100,  999,  115,  15,   0,   0,   S,   0,   X, 125,   7,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010318,   , BEST,   0, 125S, 0750E,  55,  984, XX,  34, NEQ,  105,   45,   45,  100,  999,  115,  15,   0,   0,   S,   0,   X, 120,   8,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010400,   , BEST,   0, 135S, 0755E,  55,  984, XX,  34, NEQ,  125,   50,   50,  100,  999,  115,  20,   0,   0,   S,   0,   X, 135,  10,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010406,   , BEST,   0, 150S, 0759E,  50,  993, XX,  34, NEQ,  125,   65,   70,  100, 1005,  210,  15,   0,   0,   S,   0,   X, 155,  11,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010412,   , BEST,   0, 154S, 0762E,  50,  990, XX,  34, NEQ,  130,   70,   70,  100, 1003,  210,  20,   0,   0,   S,   0,   X, 160,   9,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010418,   , BEST,   0, 159S, 0762E,  50,  993, XX,  34, NEQ,   90,   95,   80,   75, 1006,  310,  20,   0,   0,   S,   0,   X, 170,   7,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010500,   , BEST,   0, 161S, 0764E,  65,  984, XX,  34, NEQ,   90,  110,   85,   80, 1006,  310,  20,   0,   0,   S,   0,   X, 170,   5,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010506,   , BEST,   0, 164S, 0766E,  65,  982, XX,  34, NEQ,   90,  120,  100,   80, 1005,  210,  25,   0,   0,   S,   0,   X, 160,   4,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010512,   , BEST,   0, 167S, 0760E,  70,  979, XX,  34, NEQ,   80,   90,  110,   85, 1005,  200,  25,   0,   0,   S,   0,   X, 195,   3,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010518,   , BEST,   0, 171S, 0756E,  60,  987, XX,  34, NEQ,   80,   90,  110,   85, 1006,  200,  25,   0,   0,   S,   0,   X, 225,   5,     DANILO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
SH, 08, 2021010600,   , BEST,   0, 169S, 0760E,  50,  989, XX,  34, NEQ,   80,   90,  110,   85, 1003,  170,  30,   0,   0,   S,   0,   X, 230,   3,     DANILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH082021, JTWC, NCEP_TCVITALS, 
